#Gene	pfamid	SP	TM	Start	End	Length	Strand	Contig	Source	pfam_desc	Taxonomy
demo|00587	PF13476.6;	No	0	120992	123007	2016	-1	bin00.contig0003	Prodigal_v2.6.3	"AAA domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00588	PF07813.12;	No	1	123127	123672	546	-1	bin00.contig0003	Prodigal_v2.6.3	"LTXXQ motif family protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00592	PF04542.14;PF04545.16;	No	0	124135	124692	558	-1	bin00.contig0003	Prodigal_v2.6.3	"Sigma-70 region 2 ";"Sigma-70, region 4";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00594	PF07883.11;	No	0	126021	126452	432	1	bin00.contig0003	Prodigal_v2.6.3	"Cupin domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00595	PF00805.22;	No	0	126516	126740	225	-1	bin00.contig0003	Prodigal_v2.6.3	"Pentapeptide repeats (8 copies)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00597	PF13521.6;	No	0	127235	127873	639	-1	bin00.contig0003	Prodigal_v2.6.3	"AAA domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00599	PF09335.11;	No	4	128767	129393	627	1	bin00.contig0003	Prodigal_v2.6.3	"SNARE associated Golgi protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00601	PF00106.25;	No	0	129405	130352	948	-1	bin00.contig0003	Prodigal_v2.6.3	"short chain dehydrogenase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00602	PF00535.26;PF13506.6;	YES	3	136	1362	1227	-1	bin00.contig0004	Prodigal_v2.6.3	"Glycosyl transferase family 2";"Glycosyl transferase family 21";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00605	PF04240.12;	No	8	1479	2402	924	-1	bin00.contig0004	Prodigal_v2.6.3	"Carotenoid biosynthesis protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00607	PF08240.12;PF00107.26;	No	0	2585	3649	1065	1	bin00.contig0004	Prodigal_v2.6.3	"Alcohol dehydrogenase GroES-like domain";"Zinc-binding dehydrogenase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00608	PF08719.11;	No	0	3682	4176	495	1	bin00.contig0004	Prodigal_v2.6.3	"Domain of unknown function (DUF1768)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00609	PF00072.24;PF00486.28;	No	0	4192	4902	711	1	bin00.contig0004	Prodigal_v2.6.3	"Response regulator receiver domain";"Transcriptional regulatory protein, C terminal";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00612	PF07332.11;	No	2	5512	5913	402	1	bin00.contig0004	Prodigal_v2.6.3	"Putative Actinobacterial Holin-X, holin superfamily III";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00614	PF04187.13;	No	0	6079	6984	906	1	bin00.contig0004	Prodigal_v2.6.3	"Haem-binding uptake, Tiki superfamily, ChaN";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00615	PF00067.22;	No	0	6981	8315	1335	-1	bin00.contig0004	Prodigal_v2.6.3	"Cytochrome P450";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00616	PF01257.19;	No	0	8431	8748	318	-1	bin00.contig0004	Prodigal_v2.6.3	"Thioredoxin-like [2Fe-2S] ferredoxin";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00617	PF00571.28;	No	0	8892	9365	474	1	bin00.contig0004	Prodigal_v2.6.3	"CBS domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00618	PF13646.6;	No	0	9404	10060	657	1	bin00.contig0004	Prodigal_v2.6.3	"HEAT repeats";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00623	PF01564.17;	No	7	11496	13115	1620	1	bin00.contig0004	Prodigal_v2.6.3	"Spermine/spermidine synthase domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00625	PF13785.6;	No	1	13145	13729	585	1	bin00.contig0004	Prodigal_v2.6.3	"Domain of unknown function (DUF4178)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00629	PF03400.13;	No	0	14949	15329	381	1	bin00.contig0004	Prodigal_v2.6.3	"IS1 transposase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00631	PF13175.6;	No	0	16007	17143	1137	1	bin00.contig0004	Prodigal_v2.6.3	"AAA ATPase domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00634	PF12095.8;	No	0	18277	18618	342	1	bin00.contig0004	Prodigal_v2.6.3	"Protein CHLORORESPIRATORY REDUCTION 7";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00635	PF11016.8;	No	2	18625	19194	570	-1	bin00.contig0004	Prodigal_v2.6.3	"Protein of unknown function (DUF2854)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00638	PF00180.20;	No	0	20430	21515	1086	1	bin00.contig0004	Prodigal_v2.6.3	"Isocitrate/isopropylmalate dehydrogenase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00639	PF01842.25;PF00800.18;	No	0	21560	22435	876	-1	bin00.contig0004	Prodigal_v2.6.3	"ACT domain";"Prephenate dehydratase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00640	PF01073.19;	No	0	22653	23633	981	1	bin00.contig0004	Prodigal_v2.6.3	"3-beta hydroxysteroid dehydrogenase/isomerase family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00641	PF00571.28;PF01769.16;PF03448.17;	No	5	24510	25883	1374	1	bin00.contig0004	Prodigal_v2.6.3	"CBS domain";"Divalent cation transporter";"MgtE intracellular N domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix;
demo|00646	PF00682.19;PF08502.10;	No	0	27034	28644	1611	-1	bin00.contig0004	Prodigal_v2.6.3	"HMGL-like";"LeuA allosteric (dimerisation) domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00647	PF01936.18;	No	0	28748	29269	522	-1	bin00.contig0004	Prodigal_v2.6.3	"NYN domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00648	PF00196.19;PF00072.24;	No	0	29593	30231	639	-1	bin00.contig0004	Prodigal_v2.6.3	"Bacterial regulatory proteins, luxR family";"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00650	PF00226.31;PF13355.6;	No	2	30909	33152	2244	-1	bin00.contig0004	Prodigal_v2.6.3	"DnaJ domain";"Protein of unknown function (DUF4101)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00652	PF03781.16;	No	0	33372	34286	915	1	bin00.contig0004	Prodigal_v2.6.3	"Sulfatase-modifying factor enzyme 1";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Geitlerinema;
demo|00655	PF00782.20;	No	0	36114	36938	825	1	bin00.contig0004	Prodigal_v2.6.3	"Dual specificity phosphatase, catalytic domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00656	PF00892.20;	No	10	36953	37864	912	1	bin00.contig0004	Prodigal_v2.6.3	"EamA-like transporter family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00658	PF01850.21;	No	0	37919	38353	435	-1	bin00.contig0004	Prodigal_v2.6.3	"PIN domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Geminocystis;
demo|00660	PF01593.24;	No	0	38824	40284	1461	1	bin00.contig0004	Prodigal_v2.6.3	"Flavin containing amine oxidoreductase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00661	PF03364.20;	No	0	40375	40833	459	1	bin00.contig0004	Prodigal_v2.6.3	"Polyketide cyclase / dehydrase and lipid transport";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00662	PF13304.6;	No	0	40855	41523	669	1	bin00.contig0004	Prodigal_v2.6.3	"AAA domain, putative AbiEii toxin, Type IV TA system";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00663	PF00805.22;	No	0	41751	42179	429	-1	bin00.contig0004	Prodigal_v2.6.3	"Pentapeptide repeats (8 copies)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00665	PF13401.6;PF00515.28;PF13374.6;	No	1	43205	46723	3519	1	bin00.contig0004	Prodigal_v2.6.3	"AAA domain";"Tetratricopeptide repeat";"Tetratricopeptide repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Arthrospira;s__Arthrospira platensis
demo|00667	PF13476.6;	No	0	46865	48931	2067	1	bin00.contig0004	Prodigal_v2.6.3	"AAA domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00668	PF17195.4;	No	1	49122	49457	336	1	bin00.contig0004	Prodigal_v2.6.3	"Protein of unknown function (DUF5132)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00671	PF00702.26;	No	0	49896	50657	762	-1	bin00.contig0004	Prodigal_v2.6.3	"haloacid dehalogenase-like hydrolase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00672	PF00122.20;PF00702.26;	No	0	50650	52119	1470	-1	bin00.contig0004	Prodigal_v2.6.3	"E1-E2 ATPase";"haloacid dehalogenase-like hydrolase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00674	PF05128.12;PF00350.23;	No	0	52992	54278	1287	-1	bin00.contig0004	Prodigal_v2.6.3	"Domain of unknown function (DUF697) ";"Dynamin family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00675	PF02518.26;PF00512.25;PF00989.25;PF08448.10;	No	0	54275	56395	2121	-1	bin00.contig0004	Prodigal_v2.6.3	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase";"His Kinase A (phospho-acceptor) domain";"PAS fold";"PAS fold";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00676	PF00118.24;	No	0	56687	58378	1692	-1	bin00.contig0004	Prodigal_v2.6.3	"TCP-1/cpn60 chaperonin family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00677	PF00535.26;	No	2	58439	59470	1032	-1	bin00.contig0004	Prodigal_v2.6.3	"Glycosyl transferase family 2";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00679	PF00106.25;	No	2	59477	60772	1296	-1	bin00.contig0004	Prodigal_v2.6.3	"short chain dehydrogenase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00681	PF02080.21;PF02254.18;	No	0	60912	61616	705	-1	bin00.contig0004	Prodigal_v2.6.3	"TrkA-C domain";"TrkA-N domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00682	PF02386.16;	No	9	61698	63032	1335	-1	bin00.contig0004	Prodigal_v2.6.3	"Cation transport protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00684	PF01593.24;	No	0	63099	64604	1506	-1	bin00.contig0004	Prodigal_v2.6.3	"Flavin containing amine oxidoreductase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00685	PF00675.20;PF05193.21;	No	0	64751	66049	1299	1	bin00.contig0004	Prodigal_v2.6.3	"Insulinase (Peptidase family M16)";"Peptidase M16 inactive domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00686	PF13181.6;	No	0	66302	67198	897	1	bin00.contig0004	Prodigal_v2.6.3	"Tetratricopeptide repeat";	UNKNOWN
demo|00687	PF07693.14;	No	0	67241	68482	1242	1	bin00.contig0004	Prodigal_v2.6.3	"KAP family P-loop domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;
demo|00689	PF15919.5;	No	0	68667	68951	285	1	bin00.contig0004	Prodigal_v2.6.3	"HicB_like antitoxin of bacterial toxin-antitoxin system";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00690	PF07927.12;	No	0	68955	69179	225	1	bin00.contig0004	Prodigal_v2.6.3	"HicA toxin of bacterial toxin-antitoxin,";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00691	PF12770.7;PF13374.6;	No	0	69400	72294	2895	1	bin00.contig0004	Prodigal_v2.6.3	"CHAT domain";"Tetratricopeptide repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Neosynechococcales;f__Neosynechococcaceae;g__GCF-001939115;
demo|00695	PF16277.5;	No	0	73639	73965	327	1	bin00.contig0004	Prodigal_v2.6.3	"Domain of unknown function (DUF4926)";	UNKNOWN
demo|00698	PF03806.13;	No	12	75954	77513	1560	-1	bin00.contig0004	Prodigal_v2.6.3	"AbgT putative transporter family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00701	PF01967.21;	No	0	77752	78222	471	1	bin00.contig0004	Prodigal_v2.6.3	"MoaC family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00702	PF00561.20;	No	0	78458	79393	936	1	bin00.contig0004	Prodigal_v2.6.3	"alpha/beta hydrolase fold";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00703	PF00395.20;	No	1	79450	80709	1260	1	bin00.contig0004	Prodigal_v2.6.3	"S-layer homology domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00705	PF00550.25;	No	0	80919	81173	255	1	bin00.contig0004	Prodigal_v2.6.3	"Phosphopantetheine attachment site";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00706	PF00109.26;PF02801.22;	No	0	81521	82780	1260	1	bin00.contig0004	Prodigal_v2.6.3	"Beta-ketoacyl synthase, N-terminal domain";"Beta-ketoacyl synthase, C-terminal domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00707	PF02780.20;PF00456.21;PF02779.24;	No	0	82941	84947	2007	1	bin00.contig0004	Prodigal_v2.6.3	"Transketolase, C-terminal domain";"Transketolase, thiamine diphosphate binding domain";"Transketolase, pyrimidine binding domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00708	PF03693.14;	No	0	85085	85342	258	1	bin00.contig0004	Prodigal_v2.6.3	"Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00709	PF05016.15;	No	0	85346	85642	297	1	bin00.contig0004	Prodigal_v2.6.3	"#=GF GA   21.90; 21.90;";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Geitlerinema;
demo|00710	PF04055.21;PF01938.20;PF00919.20;	No	0	85779	87107	1329	-1	bin00.contig0004	Prodigal_v2.6.3	"Radical SAM superfamily";"TRAM domain";"Uncharacterized protein family UPF0004";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00711	PF00571.28;PF00571.28;	No	4	87522	88670	1149	1	bin00.contig0004	Prodigal_v2.6.3	"CBS domain";"Cyclin M transmembrane N-terminal domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00713	PF00561.20;	No	0	88976	89710	735	1	bin00.contig0004	Prodigal_v2.6.3	"alpha/beta hydrolase fold";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00714	PF00210.24;	No	0	89810	90244	435	1	bin00.contig0004	Prodigal_v2.6.3	"Ferritin-like domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00715	PF03239.14;	No	7	90362	91342	981	1	bin00.contig0004	Prodigal_v2.6.3	"Iron permease FTR1 family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00717	PF01590.26;PF01590.26;PF01590.26;PF02518.26;PF00512.25;PF01627.23;PF00989.25;	No	1	91334	97789	6456	-1	bin00.contig0004	Prodigal_v2.6.3	"GAF domain";"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase";"His Kinase A (phospho-acceptor) domain";"Hpt domain";"PAS fold";"PAS domain";"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00719	PF13481.6;PF13541.6;PF18073.1;	No	0	97920	99638	1719	-1	bin00.contig0004	Prodigal_v2.6.3	"AAA domain";"Subunit ChlI of Mg-chelatase";"Rubredoxin metal binding domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00720	PF00072.24;PF00486.28;	No	0	99845	100573	729	1	bin00.contig0004	Prodigal_v2.6.3	"Response regulator receiver domain";"Transcriptional regulatory protein, C terminal";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00721	PF11152.8;	No	2	100801	101457	657	1	bin00.contig0004	Prodigal_v2.6.3	"Cofactor assembly of complex C subunit B, CCB2/CCB4";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00726	PF00656.22;	No	0	104205	105404	1200	1	bin00.contig0004	Prodigal_v2.6.3	"Caspase domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Planktothricoides;
demo|00727	PF08662.11;PF00400.32;	No	0	105554	106594	1041	1	bin00.contig0004	Prodigal_v2.6.3	"Eukaryotic translation initiation factor eIF2A";"WD domain, G-beta repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Alkalinema;
demo|00728	PF05239.16;	No	0	232	1242	1011	-1	bin00.contig0005	Prodigal_v2.6.3	"PRC-barrel domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00729	PF13175.6;PF06470.13;	No	0	1290	4964	3675	-1	bin00.contig0005	Prodigal_v2.6.3	"AAA ATPase domain";"SMC proteins Flexible Hinge Domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00731	PF01547.25;	YES	0	6078	7112	1035	1	bin00.contig0005	Prodigal_v2.6.3	"Bacterial extracellular solute-binding protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00733	PF00528.22;	No	11	7301	8866	1566	1	bin00.contig0005	Prodigal_v2.6.3	"Binding-protein-dependent transport system inner membrane component";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00735	PF00216.21;	No	0	9104	9385	282	-1	bin00.contig0005	Prodigal_v2.6.3	"Bacterial DNA-binding protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00736	PF00005.27;	No	0	9933	10673	741	-1	bin00.contig0005	Prodigal_v2.6.3	"ABC transporter";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00737	PF13476.6;PF12399.8;	No	0	10676	11428	753	-1	bin00.contig0005	Prodigal_v2.6.3	"AAA domain";"Branched-chain amino acid ATP-binding cassette transporter";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00738	PF02653.16;	No	8	11446	12618	1173	-1	bin00.contig0005	Prodigal_v2.6.3	"Branched-chain amino acid transport system / permease component";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00740	PF02653.16;	No	9	12685	13851	1167	-1	bin00.contig0005	Prodigal_v2.6.3	"Branched-chain amino acid transport system / permease component";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00742	PF01094.28;	No	0	13977	15272	1296	-1	bin00.contig0005	Prodigal_v2.6.3	"Receptor family ligand binding region";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00743	PF02222.22;PF02843.16;PF02844.15;	No	0	15580	16716	1137	-1	bin00.contig0005	Prodigal_v2.6.3	"ATP-grasp domain";"Phosphoribosylglycinamide synthetase, C domain";"Phosphoribosylglycinamide synthetase, N domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00745	PF00155.21;	No	0	17586	18821	1236	-1	bin00.contig0005	Prodigal_v2.6.3	"Aminotransferase class I and II";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00748	PF00474.17;	No	15	20354	22189	1836	1	bin00.contig0005	Prodigal_v2.6.3	"Sodium:solute symporter family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
