#Accession	ID	Description	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
PF01992	vATP-synt_AC39	"ATP synthase (C/AC39) subunit"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF02739	5_3_exonuc_N	"5'-3' exonuclease, N-terminal resolvase-like domain"	3	0.03	225.32	0.01	17.99	0.01	0.14	0.00	206.60	0.02	0.58	0.00
PF13855	LRR_8	"Leucine rich repeat"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
PF05834	Lycopene_cycl	"Lycopene cyclase protein"	11	0.11	418.52	0.03	7.72	0.01	10.62	0.00	394.59	0.04	5.59	0.00
PF04023	FeoA	"FeoA domain"	2	0.02	63.92	0.00	2.37	0.00	0.03	0.00	60.02	0.01	1.50	0.00
PF01121	CoaE	"Dephospho-CoA kinase"	7	0.07	357.59	0.02	27.29	0.02	8.51	0.00	317.43	0.03	4.36	0.00
PF00393	6PGD	"6-phosphogluconate dehydrogenase, C-terminal domain"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
PF00684	DnaJ_CXXCXGXG	"DnaJ central domain"	4	0.04	109.82	0.01	2.52	0.00	3.63	0.00	101.28	0.01	2.39	0.00
PF02446	Glyco_hydro_77	"4-alpha-glucanotransferase"	3	0.03	109.72	0.01	1.53	0.00	19.85	0.01	85.06	0.01	3.28	0.00
PF01653	DNA_ligase_aden	"NAD-dependent DNA ligase adenylation domain"	4	0.04	196.76	0.01	0.32	0.00	0.70	0.00	195.21	0.02	0.52	0.00
PF17759	tRNA_synthFbeta	"Phenylalanyl tRNA synthetase beta chain CLM domain"	5	0.05	369.88	0.02	13.77	0.01	6.04	0.00	346.95	0.04	3.12	0.00
PF16137	DUF4845	"Domain of unknown function (DUF4845)"	1	0.01	55.78	0.00	0.03	0.00	0.08	0.00	55.60	0.01	0.06	0.00
PF01478	Peptidase_A24	"Type IV leader peptidase family"	1	0.01	217.06	0.01	0.01	0.00	0.47	0.00	216.16	0.02	0.42	0.00
PF07394	DUF1501	"Protein of unknown function (DUF1501)"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
PF04483	DUF565	"Protein of unknown function (DUF565)"	1	0.01	70.45	0.00	0.00	0.00	0.03	0.00	70.38	0.01	0.04	0.00
PF01257	2Fe-2S_thioredx	"Thioredoxin-like [2Fe-2S] ferredoxin"	4	0.04	315.12	0.02	0.92	0.00	0.81	0.00	311.82	0.03	1.56	0.00
PF02457	DisA_N	"DisA bacterial checkpoint controller nucleotide-binding"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
PF08666	SAF	"SAF domain"	3	0.03	255.21	0.02	0.01	0.00	0.40	0.00	254.46	0.03	0.34	0.00
PF00436	SSB	"Single-strand binding protein family"	11	0.11	366.65	0.02	0.34	0.00	3.95	0.00	359.74	0.04	2.62	0.00
PF01391	Collagen	"Collagen triple helix repeat (20 copies)"	2	0.02	58.97	0.00	0.10	0.00	0.07	0.00	58.71	0.01	0.09	0.00
PF13180	PDZ_2	"PDZ domain"	23	0.22	1149.78	0.07	51.73	0.04	12.51	0.01	1072.50	0.12	13.03	0.00
PF07238	PilZ	"PilZ domain"	3	0.03	291.29	0.02	2.41	0.00	0.55	0.00	287.88	0.03	0.45	0.00
PF17963	Big_9	"Bacterial Ig domain"	2	0.02	130.25	0.01	0.00	0.00	0.31	0.00	129.88	0.01	0.06	0.00
PF01916	DS	"Deoxyhypusine synthase"	1	0.01	13.71	0.00	0.00	0.00	0.01	0.00	12.23	0.00	1.46	0.00
PF02657	SufE	"Fe-S metabolism associated domain"	1	0.01	62.26	0.00	0.00	0.00	0.17	0.00	62.06	0.01	0.02	0.00
PF17892	Cadherin_5	"Cadherin-like domain"	1	0.01	62.26	0.00	0.00	0.00	0.17	0.00	62.06	0.01	0.02	0.00
PF06804	Lipoprotein_18	"NlpB/DapX lipoprotein"	1	0.01	171.43	0.01	12.03	0.01	40.15	0.02	62.43	0.01	56.82	0.02
PF10014	2OG-Fe_Oxy_2	"2OG-Fe dioxygenase"	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
PF12161	HsdM_N	"HsdM N-terminal domain"	1	0.01	17.44	0.00	0.00	0.00	0.01	0.00	17.42	0.00	0.01	0.00
PF13090	PP_kinase_C	"Polyphosphate kinase C-terminal domain 2"	6	0.06	2022.95	0.13	328.24	0.26	589.33	0.27	215.00	0.02	890.39	0.29
PF03100	CcmE	"CcmE"	2	0.02	74.47	0.00	0.00	0.00	0.17	0.00	72.92	0.01	1.38	0.00
PF00535	Glycos_transf_2	"Glycosyl transferase family 2"	35	0.34	2416.68	0.15	23.93	0.02	48.07	0.02	2293.27	0.25	51.41	0.02
PF02608	Bmp	"ABC transporter substrate-binding protein PnrA-like"	2	0.02	247.41	0.02	4.85	0.00	3.83	0.00	237.95	0.03	0.78	0.00
PF00133	tRNA-synt_1	"tRNA synthetases class I (I, L, M and V)"	13	0.13	943.17	0.06	13.31	0.01	1.95	0.00	924.65	0.10	3.26	0.00
PF02778	tRNA_int_endo_N	"tRNA intron endonuclease, N-terminal domain"	1	0.01	9.65	0.00	0.00	0.00	0.00	0.00	9.65	0.00	0.00	0.00
PF01276	OKR_DC_1	"Orn/Lys/Arg decarboxylase, major domain"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
PF12917	HD_2	"HD containing hydrolase-like enzyme"	3	0.03	119.13	0.01	2.49	0.00	3.64	0.00	112.19	0.01	0.82	0.00
PF07015	VirC1	"VirC1 protein"	4	0.04	135.80	0.01	2.69	0.00	20.13	0.01	109.77	0.01	3.20	0.00
PF05729	NACHT	"NACHT domain"	2	0.02	1946.45	0.12	298.52	0.23	564.64	0.26	229.55	0.03	853.74	0.28
PF13374	TPR_10	"Tetratricopeptide repeat"	15	0.14	1456.94	0.09	10.98	0.01	5.05	0.00	1436.52	0.16	4.39	0.00
PF00850	Hist_deacetyl	"Histone deacetylase domain"	6	0.06	335.56	0.02	0.21	0.00	7.69	0.00	324.14	0.04	3.52	0.00
PF00255	GSHPx	"Glutathione peroxidase"	6	0.06	414.59	0.03	8.47	0.01	4.09	0.00	399.20	0.04	2.83	0.00
PF06667	PspB	"Phage shock protein B"	2	0.02	116.93	0.01	0.03	0.00	0.23	0.00	116.60	0.01	0.08	0.00
PF03764	EFG_IV	"Elongation factor G, domain IV"	3	0.03	159.86	0.01	0.70	0.00	0.64	0.00	157.83	0.02	0.70	0.00
PF08436	DXP_redisom_C	"1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain"	3	0.03	134.51	0.01	17.66	0.01	5.06	0.00	108.00	0.01	3.78	0.00
PF09996	DUF2237	"Uncharacterized protein conserved in bacteria (DUF2237)"	4	0.04	363.30	0.02	0.24	0.00	16.94	0.01	343.41	0.04	2.71	0.00
PF10335	DUF294_C	"Putative nucleotidyltransferase substrate binding domain"	4	0.04	590.24	0.04	16.16	0.01	92.54	0.04	435.91	0.05	45.63	0.02
PF08331	DUF1730	"Domain of unknown function (DUF1730)"	2	0.02	138.55	0.01	6.47	0.01	0.01	0.00	131.77	0.01	0.29	0.00
PF12696	TraG-D_C	"TraM recognition site of TraD and TraG"	3	0.03	48.57	0.00	0.00	0.00	0.00	0.00	48.56	0.01	0.01	0.00
PF12725	DUF3810	"Protein of unknown function (DUF3810)"	1	0.01	13.49	0.00	0.00	0.00	0.01	0.00	11.94	0.00	1.53	0.00
PF08482	HrpB_C	"ATP-dependent helicase C-terminal"	3	0.03	146.77	0.01	0.58	0.00	22.15	0.01	120.26	0.01	3.78	0.00
PF08442	ATP-grasp_2	"ATP-grasp domain"	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
PF02604	PhdYeFM_antitox	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	5	0.05	235.55	0.02	0.55	0.00	0.68	0.00	233.71	0.03	0.62	0.00
PF01262	AlaDh_PNT_C	"Alanine dehydrogenase/PNT, C-terminal domain"	13	0.13	1119.26	0.07	10.80	0.01	9.46	0.00	1095.51	0.12	3.49	0.00
PF00677	Lum_binding	"Lumazine binding domain"	5	0.05	358.45	0.02	10.40	0.01	0.46	0.00	346.97	0.04	0.63	0.00
PF02606	LpxK	"Tetraacyldisaccharide-1-P 4'-kinase"	1	0.01	29.16	0.00	0.03	0.00	3.61	0.00	24.78	0.00	0.76	0.00
PF01814	Hemerythrin	"Hemerythrin HHE cation binding domain"	1	0.01	196.45	0.01	0.00	0.00	0.40	0.00	195.69	0.02	0.35	0.00
PF05569	Peptidase_M56	"BlaR1 peptidase M56"	3	0.03	108.85	0.01	24.67	0.02	6.14	0.00	72.21	0.01	5.82	0.00
PF09106	SelB-wing_2	"Elongation factor SelB, winged helix "	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
PF04892	VanZ	"VanZ like family"	2	0.02	92.04	0.01	8.08	0.01	0.08	0.00	83.54	0.01	0.34	0.00
PF11953	DUF3470	"Domain of unknown function (DUF3470)"	1	0.01	196.45	0.01	0.00	0.00	0.40	0.00	195.69	0.02	0.35	0.00
PF07536	HWE_HK	"HWE histidine kinase"	1	0.01	27.64	0.00	0.26	0.00	0.16	0.00	27.12	0.00	0.10	0.00
PF05636	HIGH_NTase1	"HIGH Nucleotidyl Transferase"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF01634	HisG	"ATP phosphoribosyltransferase"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
PF05711	TylF	"Macrocin-O-methyltransferase (TylF)"	1	0.01	92.95	0.01	0.00	0.00	0.04	0.00	92.89	0.01	0.02	0.00
PF13202	EF-hand_5	"EF hand"	4	0.04	2039.11	0.13	283.07	0.22	588.02	0.27	268.91	0.03	899.11	0.30
PF10095	DUF2333	"Uncharacterized protein conserved in bacteria (DUF2333)"	2	0.02	232.23	0.01	0.05	0.00	4.08	0.00	226.71	0.02	1.38	0.00
PF07694	5TM-5TMR_LYT	"5TMR of 5TMR-LYT"	1	0.01	50.21	0.00	2.37	0.00	0.01	0.00	47.79	0.01	0.04	0.00
PF00565	SNase	"Staphylococcal nuclease homologue"	4	0.04	273.75	0.02	0.01	0.00	0.40	0.00	273.00	0.03	0.35	0.00
PF12797	Fer4_2	"4Fe-4S binding domain"	12	0.12	922.06	0.06	12.03	0.01	19.10	0.01	881.95	0.10	8.99	0.00
PF00204	DNA_gyraseB	"DNA gyrase B"	3	0.03	117.53	0.01	7.98	0.01	0.18	0.00	107.61	0.01	1.76	0.00
PF16983	MFS_MOT1	"Molybdate transporter of MFS superfamily"	1	0.01	28.60	0.00	0.03	0.00	3.93	0.00	23.76	0.00	0.88	0.00
PF00174	Oxidored_molyb	"Oxidoreductase molybdopterin binding domain"	9	0.09	807.77	0.05	7.18	0.01	10.98	0.01	780.82	0.09	8.80	0.00
PF02326	YMF19	"Plant ATP synthase F0"	2	0.02	798.87	0.05	0.04	0.00	3.52	0.00	794.31	0.09	1.00	0.00
PF01345	DUF11	"Domain of unknown function DUF11"	1	0.01	61.65	0.00	0.00	0.00	0.14	0.00	61.46	0.01	0.04	0.00
PF12795	MscS_porin	"Mechanosensitive ion channel porin domain"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
PF12915	DUF3833	"Protein of unknown function (DUF3833)"	2	0.02	71.99	0.00	0.32	0.00	20.22	0.01	48.38	0.01	3.06	0.00
PF00410	Ribosomal_S8	"Ribosomal protein S8"	2	0.02	1827.19	0.12	325.55	0.25	585.18	0.27	25.72	0.00	890.74	0.29
PF13840	ACT_7	"ACT domain "	6	0.06	427.50	0.03	25.79	0.02	2.25	0.00	394.51	0.04	4.95	0.00
PF10094	DUF2332	"Uncharacterized protein conserved in bacteria (DUF2332)"	4	0.04	269.61	0.02	0.24	0.00	17.16	0.01	249.49	0.03	2.71	0.00
PF14821	Thr_synth_N	"Threonine synthase N terminus"	3	0.03	259.34	0.02	10.14	0.01	1.86	0.00	244.14	0.03	3.21	0.00
PF00347	Ribosomal_L6	"Ribosomal protein L6"	2	0.02	1827.19	0.12	325.55	0.25	585.18	0.27	25.72	0.00	890.74	0.29
PF11806	DUF3327	"Domain of unknown function (DUF3327)"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
PF04191	PEMT	"Phospholipid methyltransferase "	1	0.01	59.33	0.00	0.00	0.00	0.11	0.00	59.17	0.01	0.04	0.00
PF14505	DUF4438	"Domain of unknown function (DUF4438)"	1	0.01	66.73	0.00	0.00	0.00	0.15	0.00	66.54	0.01	0.04	0.00
PF07685	GATase_3	"CobB/CobQ-like glutamine amidotransferase domain"	5	0.05	309.53	0.02	0.93	0.00	4.12	0.00	303.05	0.03	1.44	0.00
PF09654	DUF2396	"Protein of unknown function (DUF2396)"	1	0.01	1729.70	0.11	298.41	0.23	563.99	0.26	14.22	0.00	853.09	0.28
PF02565	RecO_C	"Recombination protein O C terminal"	2	0.02	80.81	0.01	0.16	0.00	0.18	0.00	80.32	0.01	0.16	0.00
PF14801	GCD14_N	"tRNA methyltransferase complex GCD14 subunit N-term"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
PF00012	HSP70	"Hsp70 protein"	10	0.10	583.84	0.04	19.97	0.02	4.24	0.00	557.74	0.06	1.89	0.00
PF00085	Thioredoxin	"Thioredoxin"	15	0.14	1047.68	0.07	19.44	0.02	8.67	0.00	1014.91	0.11	4.66	0.00
PF04174	CP_ATPgrasp_1	"A circularly permuted ATPgrasp "	2	0.02	83.57	0.01	0.08	0.00	3.28	0.00	79.46	0.01	0.75	0.00
PF04715	Anth_synt_I_N	"Anthranilate synthase component I, N terminal region"	5	0.05	146.85	0.01	0.34	0.00	16.79	0.01	124.50	0.01	5.22	0.00
PF01131	Topoisom_bac	"DNA topoisomerase"	4	0.04	388.39	0.02	15.73	0.01	0.59	0.00	371.15	0.04	0.92	0.00
PF02334	RTP	"Replication terminator protein"	1	0.01	29.10	0.00	0.00	0.00	0.28	0.00	28.76	0.00	0.07	0.00
PF01783	Ribosomal_L32p	"Ribosomal L32p protein family"	2	0.02	93.95	0.01	0.04	0.00	0.13	0.00	93.70	0.01	0.08	0.00
PF03783	CsgG	"Curli production assembly/transport component CsgG"	2	0.02	110.61	0.01	26.08	0.02	0.92	0.00	82.81	0.01	0.80	0.00
PF12766	Pyridox_oxase_2	"Pyridoxamine 5'-phosphate oxidase"	2	0.02	221.50	0.01	7.20	0.01	1.34	0.00	210.59	0.02	2.36	0.00
PF00793	DAHP_synth_1	"DAHP synthetase I family"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
PF13406	SLT_2	"Transglycosylase SLT domain"	1	0.01	29.33	0.00	0.02	0.00	3.64	0.00	24.90	0.00	0.78	0.00
PF05697	Trigger_N	"Bacterial trigger factor protein (TF)"	2	0.02	121.64	0.01	2.37	0.00	0.05	0.00	119.14	0.01	0.08	0.00
PF13614	AAA_31	"AAA domain"	20	0.19	2876.29	0.18	309.62	0.24	589.32	0.27	1115.98	0.12	861.37	0.28
PF04317	DUF463	"YcjX-like family, DUF463"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
PF04333	MlaA	"MlaA lipoprotein"	1	0.01	13.57	0.00	0.23	0.00	0.01	0.00	13.23	0.00	0.10	0.00
PF11141	DUF2914	"Protein of unknown function (DUF2914)"	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
PF01933	UPF0052	"Uncharacterised protein family UPF0052"	4	0.04	141.87	0.01	7.80	0.01	3.60	0.00	129.80	0.01	0.67	0.00
PF04403	PqiA	"Paraquat-inducible protein A"	1	0.01	21.31	0.00	0.00	0.00	0.00	0.00	21.31	0.00	0.01	0.00
PF05932	CesT	"Tir chaperone protein (CesT) family"	1	0.01	13.31	0.00	0.02	0.00	0.24	0.00	11.71	0.00	1.34	0.00
PF13735	tRNA_NucTran2_2	"tRNA nucleotidyltransferase domain 2 putative"	3	0.03	110.09	0.01	0.12	0.00	0.15	0.00	108.35	0.01	1.48	0.00
PF01325	Fe_dep_repress	"Iron dependent repressor, N-terminal DNA binding domain"	3	0.03	150.51	0.01	10.50	0.01	0.08	0.00	138.19	0.02	1.75	0.00
PF00384	Molybdopterin	"Molybdopterin oxidoreductase"	7	0.07	933.26	0.06	0.95	0.00	2.33	0.00	926.99	0.10	2.98	0.00
PF02567	PhzC-PhzF	"Phenazine biosynthesis-like protein"	2	0.02	30.78	0.00	0.00	0.00	0.01	0.00	29.10	0.00	1.66	0.00
PF01274	Malate_synthase	"Malate synthase"	2	0.02	79.12	0.01	7.69	0.01	0.11	0.00	70.93	0.01	0.39	0.00
PF00117	GATase	"Glutamine amidotransferase class-I"	22	0.21	1432.96	0.09	51.54	0.04	20.98	0.01	1342.90	0.15	17.54	0.01
PF02575	YbaB_DNA_bd	"YbaB/EbfC DNA-binding family"	3	0.03	1869.88	0.12	283.00	0.22	590.40	0.27	97.56	0.01	898.91	0.30
PF13653	GDPD_2	"Glycerophosphoryl diester phosphodiesterase family"	2	0.02	58.54	0.00	0.91	0.00	0.06	0.00	57.40	0.01	0.18	0.00
PF01315	Ald_Xan_dh_C	"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain"	3	0.03	148.40	0.01	0.61	0.00	4.66	0.00	141.65	0.02	1.48	0.00
PF04095	NAPRTase	"Nicotinate phosphoribosyltransferase (NAPRTase) family"	4	0.04	155.98	0.01	2.50	0.00	3.67	0.00	147.42	0.02	2.38	0.00
PF13875	DUF4202	"Domain of unknown function (DUF4202)"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
PF00563	EAL	"EAL domain"	18	0.17	2606.81	0.17	307.44	0.24	569.51	0.26	874.36	0.10	855.50	0.28
PF00324	AA_permease	"Amino acid permease"	3	0.03	72.95	0.00	2.26	0.00	0.02	0.00	69.17	0.01	1.50	0.00
PF17899	Peptidase_M61_N	"Peptidase M61 N-terminal domain"	2	0.02	50.94	0.00	7.32	0.01	1.02	0.00	40.48	0.00	2.12	0.00
PF18851	baeRF_family8	"Bacterial archaeo-eukaryotic release factor family 8"	2	0.02	71.66	0.00	2.39	0.00	3.52	0.00	64.86	0.01	0.88	0.00
PF02033	RBFA	"Ribosome-binding factor A"	4	0.04	217.08	0.01	10.26	0.01	3.73	0.00	201.93	0.02	1.17	0.00
PF03819	MazG	"MazG nucleotide pyrophosphohydrolase domain"	6	0.06	330.55	0.02	3.28	0.00	0.27	0.00	326.71	0.04	0.30	0.00
PF01268	FTHFS	"Formate--tetrahydrofolate ligase"	2	0.02	111.63	0.01	8.25	0.01	0.15	0.00	102.89	0.01	0.34	0.00
PF10708	DUF2510	"Protein of unknown function (DUF2510)"	5	0.05	88.08	0.01	0.03	0.00	0.02	0.00	88.00	0.01	0.03	0.00
PF06177	QueT	"QueT transporter"	1	0.01	17.05	0.00	0.00	0.00	0.00	0.00	17.05	0.00	0.00	0.00
PF01300	Sua5_yciO_yrdC	"Telomere recombination"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
PF03485	Arg_tRNA_synt_N	"Arginyl tRNA synthetase N terminal domain"	4	0.04	211.39	0.01	0.26	0.00	0.48	0.00	210.41	0.02	0.24	0.00
PF16697	Yop-YscD_cpl	"Inner membrane component of T3SS, cytoplasmic domain"	4	0.04	156.89	0.01	5.05	0.00	3.69	0.00	147.53	0.02	0.62	0.00
PF12156	ATPase-cat_bd	"Putative metal-binding domain of cation transport ATPase"	1	0.01	28.95	0.00	9.91	0.01	1.36	0.00	14.98	0.00	2.70	0.00
PF06853	DUF1249	"Protein of unknown function (DUF1249)"	1	0.01	54.97	0.00	0.04	0.00	0.13	0.00	54.73	0.01	0.07	0.00
PF02824	TGS	"TGS domain"	7	0.07	473.77	0.03	12.50	0.01	0.63	0.00	458.47	0.05	2.16	0.00
PF14501	HATPase_c_5	"GHKL domain"	6	0.06	254.87	0.02	15.05	0.01	1.38	0.00	235.57	0.03	2.87	0.00
PF04338	DUF481	"Protein of unknown function, DUF481"	2	0.02	27.30	0.00	0.23	0.00	0.03	0.00	25.29	0.00	1.76	0.00
PF01252	Peptidase_A8	"Signal peptidase (SPase) II"	2	0.02	73.76	0.00	0.33	0.00	20.13	0.01	50.15	0.01	3.15	0.00
PF02882	THF_DHG_CYH_C	"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"	4	0.04	241.15	0.02	16.54	0.01	0.50	0.00	223.31	0.02	0.80	0.00
PF08328	ASL_C	"Adenylosuccinate lyase C-terminal"	1	0.01	54.97	0.00	0.04	0.00	0.13	0.00	54.73	0.01	0.07	0.00
PF00691	OmpA	"OmpA family"	12	0.12	743.68	0.05	10.32	0.01	9.67	0.00	717.11	0.08	6.58	0.00
PF11196	DUF2834	"Protein of unknown function (DUF2834)"	1	0.01	25.63	0.00	0.02	0.00	3.34	0.00	21.51	0.00	0.75	0.00
PF01510	Amidase_2	"N-acetylmuramoyl-L-alanine amidase"	3	0.03	207.31	0.01	6.71	0.01	16.56	0.01	181.41	0.02	2.63	0.00
PF01867	Cas_Cas1	"CRISPR associated protein Cas1"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
PF00437	T2SSE	"Type II/IV secretion system protein"	15	0.14	590.97	0.04	8.57	0.01	17.66	0.01	556.24	0.06	8.49	0.00
PF14552	Tautomerase_2	"Tautomerase enzyme"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
PF13520	AA_permease_2	"Amino acid permease"	3	0.03	72.95	0.00	2.26	0.00	0.02	0.00	69.17	0.01	1.50	0.00
PF11743	DUF3301	"Protein of unknown function (DUF3301)"	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
PF01592	NifU_N	"NifU-like N terminal domain"	1	0.01	17.05	0.00	0.00	0.00	0.00	0.00	17.05	0.00	0.00	0.00
PF04389	Peptidase_M28	"Peptidase family M28"	8	0.08	401.75	0.03	18.30	0.01	0.51	0.00	379.38	0.04	3.56	0.00
PF02805	Ada_Zn_binding	"Metal binding domain of Ada"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
PF01339	CheB_methylest	"CheB methylesterase"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
PF09831	DUF2058	"Uncharacterized protein conserved in bacteria (DUF2058)"	1	0.01	13.57	0.00	0.23	0.00	0.01	0.00	13.23	0.00	0.10	0.00
PF00775	Dioxygenase_C	"Dioxygenase"	3	0.03	266.91	0.02	0.06	0.00	7.21	0.00	257.73	0.03	1.92	0.00
PF08222	HTH_CodY	"CodY helix-turn-helix domain"	2	0.02	288.44	0.02	7.88	0.01	0.55	0.00	279.40	0.03	0.61	0.00
PF00673	Ribosomal_L5_C	"ribosomal L5P family C-terminus"	2	0.02	1827.19	0.12	325.55	0.25	585.18	0.27	25.72	0.00	890.74	0.29
PF01722	BolA	"BolA-like protein"	2	0.02	72.57	0.00	0.26	0.00	0.12	0.00	72.10	0.01	0.09	0.00
PF16864	Dimerisation2	"Dimerisation domain"	1	0.01	13.49	0.00	0.00	0.00	0.01	0.00	11.94	0.00	1.53	0.00
PF16326	ABC_tran_CTD	"ABC transporter C-terminal domain"	8	0.08	425.69	0.03	21.07	0.02	4.12	0.00	391.70	0.04	8.80	0.00
PF17762	HTH_ParB	"HTH domain found in ParB protein"	3	0.03	70.33	0.00	0.14	0.00	3.64	0.00	63.92	0.01	2.63	0.00
PF12693	GspL_C	"GspL periplasmic domain"	1	0.01	66.73	0.00	0.00	0.00	0.15	0.00	66.54	0.01	0.04	0.00
PF04751	DUF615	"Protein of unknown function (DUF615)"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
PF01168	Ala_racemase_N	"Alanine racemase, N-terminal domain"	7	0.07	498.50	0.03	2.40	0.00	4.48	0.00	489.62	0.05	2.00	0.00
PF08534	Redoxin	"Redoxin"	22	0.21	4780.78	0.31	662.92	0.52	1195.04	0.56	1118.28	0.12	1804.54	0.59
PF00456	Transketolase_N	"Transketolase, thiamine diphosphate binding domain"	14	0.13	2638.81	0.17	332.17	0.26	606.08	0.28	788.65	0.09	911.92	0.30
PF07660	STN	"Secretin and TonB N terminus short domain"	1	0.01	66.73	0.00	0.00	0.00	0.15	0.00	66.54	0.01	0.04	0.00
PF00903	Glyoxalase	"Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily"	23	0.22	3044.96	0.19	320.75	0.25	586.94	0.27	1276.66	0.14	860.61	0.28
PF04336	ACP_PD	"Acyl carrier protein phosphodiesterase"	1	0.01	58.58	0.00	0.03	0.00	0.11	0.00	58.38	0.01	0.06	0.00
PF05970	PIF1	"PIF1-like helicase"	1	0.01	23.87	0.00	7.47	0.01	0.11	0.00	16.08	0.00	0.21	0.00
PF01368	DHH	"DHH family"	11	0.11	2485.44	0.16	295.49	0.23	587.87	0.27	700.18	0.08	901.90	0.30
PF01507	PAPS_reduct	"Phosphoadenosine phosphosulfate reductase family"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
PF10033	ATG13	"Autophagy-related protein 13"	1	0.01	16.43	0.00	0.00	0.00	0.00	0.00	16.41	0.00	0.02	0.00
PF00702	Hydrolase	"haloacid dehalogenase-like hydrolase"	33	0.32	3756.25	0.24	368.88	0.29	593.13	0.28	1898.52	0.21	895.72	0.30
PF03301	Trp_dioxygenase	"Tryptophan 2,3-dioxygenase"	1	0.01	91.39	0.01	0.33	0.00	0.61	0.00	90.02	0.01	0.43	0.00
PF10604	Polyketide_cyc2	"Polyketide cyclase / dehydrase and lipid transport"	9	0.09	2413.26	0.15	326.93	0.25	604.48	0.28	586.54	0.06	895.31	0.29
PF10442	FIST_C	"FIST C domain"	1	0.01	23.90	0.00	0.00	0.00	0.00	0.00	23.89	0.00	0.00	0.00
PF11317	DUF3119	"Protein of unknown function (DUF3119)"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
PF07516	SecA_SW	"SecA Wing and Scaffold domain"	5	0.05	324.75	0.02	2.98	0.00	0.65	0.00	319.12	0.03	1.99	0.00
PF13501	SoxY	"Sulfur oxidation protein SoxY"	2	0.02	222.89	0.01	0.27	0.00	0.50	0.00	221.70	0.02	0.42	0.00
PF05974	DUF892	"Domain of unknown function (DUF892)"	1	0.01	41.89	0.00	1.18	0.00	0.06	0.00	40.37	0.00	0.28	0.00
PF09861	Lar_N	"Lactate racemase N-terminal domain"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
PF17803	Cadherin_4	"Bacterial cadherin-like domain"	2	0.02	130.25	0.01	0.00	0.00	0.31	0.00	129.88	0.01	0.06	0.00
PF04069	OpuAC	"Substrate binding domain of ABC-type glycine betaine transport system"	6	0.06	591.72	0.04	15.22	0.01	4.64	0.00	570.06	0.06	1.81	0.00
PF16123	HAGH_C	"Hydroxyacylglutathione hydrolase C-terminus"	2	0.02	85.64	0.01	0.22	0.00	0.03	0.00	85.33	0.01	0.08	0.00
