#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	casgene_name	casgene_acc	Taxonomy
metaerg.pl|10020	NODE_72_length_83848_cov_7.19056	21717	22241	525	1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__SZUA-318;s__SZUA-318 sp003248075
metaerg.pl|10478	NODE_76_length_83022_cov_7.95132	62659	62973	315	-1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Parvibaculum;s__Parvibaculum sp002842875
metaerg.pl|10621	NODE_78_length_82627_cov_14.3837	5989	6372	384	-1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Natronohydrobacter;s__Natronohydrobacter thiooxidans
metaerg.pl|10776	NODE_79_length_81847_cov_8.211	38373	39134	762	1	No	0	casR	"cls001593_casR_CAS-I"	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Cecembia;s__Cecembia lonarensis
metaerg.pl|11054	NODE_82_length_81402_cov_9.56609	16894	17484	591	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__OLB19;s__OLB19 sp003245875
metaerg.pl|11215	NODE_83_length_81188_cov_46.536	48109	48462	354	1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia spumigena
metaerg.pl|11607	NODE_87_length_79430_cov_22.248	60667	61878	1212	1	No	0	WYL	"COG2378_WYL_CAS-I:CAS-III"	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__RSA9;f__RSA9;g__RSA9;s__RSA9 sp003242735
metaerg.pl|11607	NODE_87_length_79430_cov_22.248	60667	61878	1212	1	No	0	WYL	"pfam13280_WYL_CAS-I:CAS-III"	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__RSA9;f__RSA9;g__RSA9;s__RSA9 sp003242735
metaerg.pl|11608	NODE_87_length_79430_cov_22.248	61875	62972	1098	1	No	0	WYL	"COG2378_WYL_CAS-I:CAS-III"	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__RSA9;f__RSA9;g__RSA9;s__RSA9 sp003242735
metaerg.pl|11608	NODE_87_length_79430_cov_22.248	61875	62972	1098	1	No	0	WYL	"pfam13280_WYL_CAS-I:CAS-III"	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__RSA9;f__RSA9;g__RSA9;s__RSA9 sp003242735
metaerg.pl|11878	NODE_90_length_78708_cov_45.5734	38713	39510	798	1	No	0	cas4	"cd09637_cas4_CAS-I:CAS-II:CAS-V"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|11944	NODE_91_length_78468_cov_15.4801	16944	17369	426	1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__2-02-FULL-50-16-A;g__2-12-FULL-52-36;s__2-12-FULL-52-36 sp001828545
metaerg.pl|12060	NODE_92_length_78211_cov_7.45505	37042	37827	786	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2988;s__UBA2988 sp002346665
metaerg.pl|12234	NODE_94_length_77842_cov_91.2988	31660	33747	2088	1	No	2	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Natronohydrobacter;s__Natronohydrobacter thiooxidans
metaerg.pl|13035	NODE_396_length_47810_cov_9.34581	11472	14042	2571	-1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Nodosilinea;s__Nodosilinea antarctica
metaerg.pl|13270	NODE_1894_length_24309_cov_76.6133	17035	19044	2010	1	No	0	RT	"pfam00078_RT_CAS-I:CAS-III"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax_A;s__Acidovorax_A wautersii
metaerg.pl|13273	NODE_1894_length_24309_cov_76.6133	19560	21572	2013	1	No	0	RT	"pfam00078_RT_CAS-I:CAS-III"	d__Eukaryota;no__Opisthokonta;p__Ascomycota;c__Schizosaccharomycetes;o__Schizosaccharomycetales;f__Schizosaccharomycetaceae;g__Schizosaccharomyces;s__Schizosaccharomyces pombe;
metaerg.pl|13442	NODE_5401_length_13876_cov_89.7481	1473	2708	1236	-1	No	0	RT	"pfam00078_RT_CAS-I:CAS-III"	unknow
metaerg.pl|13512	NODE_6140_length_12811_cov_61.2677	4935	5558	624	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|14378	NODE_74149_length_2284_cov_10.0157	92	1315	1224	-1	No	0	RT	"pfam00078_RT_CAS-I:CAS-III"	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Aliifodinibius;s__Aliifodinibius roseus
