#accession	id	type	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4	desc
PF01187.18	MIF	Domain	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0.07	0.09	0.07	0.09	Macrophage migration inhibitory factor (MIF)
PF01189.17	Methyltr_RsmB-F	Family	1	0.02	6868.99	0.02	1640.70	0.02	2061.22	0.02	1150.09	0.02	2016.97	0.02	0.02	0.02	0.02	0.03	16S rRNA methyltransferase RsmB/F
PF01192.22	RNA_pol_Rpb6	Family	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0	0	0	0	RNA polymerase Rpb6
PF01195.19	Pept_tRNA_hydro	Domain	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	Peptidyl-tRNA hydrolase
PF01196.19	Ribosomal_L17	Family	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.06	0.06	0.08	0.07	Ribosomal protein L17
PF01197.18	Ribosomal_L31	Family	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.01	0.01	0.05	0.02	Ribosomal protein L31
PF01204.18	Trehalase	Domain	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	0.14	0.14	0.12	0.12	Trehalase
PF01206.17	TusA	Domain	1	0.02	6628.93	0.02	1569.83	0.02	2058.29	0.02	1050.75	0.02	1950.07	0.02	0	0	0	0	Sulfurtransferase TusA
PF01207.17	Dus	Family	3	0.07	19294.62	0.07	4538.33	0.07	5870.29	0.07	3118.77	0.07	5767.21	0.07	0.00	0.00	0.01	0.00	Dihydrouridine synthase (Dus)
PF01208.17	URO-D	Domain	1	0.02	6091.15	0.02	1419.38	0.02	1911.89	0.02	941.25	0.02	1818.63	0.02	0	0	0	0	Uroporphyrinogen decarboxylase (URO-D)
PF01210.23	NAD_Gly3P_dh_N	Family	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0	0	0	0	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF01218.18	Coprogen_oxidas	Family	1	0.02	6489.20	0.02	1530.35	0.02	2039.25	0.02	993.13	0.02	1926.47	0.02	0	0	0	0	Coproporphyrinogen III oxidase
PF01219.19	DAGK_prokar	Family	1	0.02	6465.74	0.02	1520.93	0.02	1957.14	0.02	1065.73	0.02	1921.94	0.02	0.00	0.00	0.01	0.00	Prokaryotic diacylglycerol kinase
PF01220.19	DHquinase_II	Domain	1	0.02	6619.11	0.02	1573.98	0.02	2011.89	0.02	1111.16	0.02	1922.08	0.02	0	0	0	0	Dehydroquinase class II
PF01225.25	Mur_ligase	Domain	3	0.07	19589.47	0.07	4623.70	0.07	5975.05	0.07	3249.05	0.07	5741.66	0.07	0.05	0.09	0.02	0.08	Mur ligase family, catalytic domain
PF01227.22	GTP_cyclohydroI	Domain	2	0.05	12822.65	0.05	3012.83	0.05	3878.35	0.05	2169.04	0.05	3762.42	0.05	0	0	0	0	GTP cyclohydrolase I
PF01228.21	Gly_radical	Domain	1	0.02	6402.18	0.02	1519.72	0.02	2029.19	0.02	939.16	0.02	1914.10	0.02	0.02	0.02	0.01	0.02	Glycine radical
PF01235.17	Na_Ala_symp	Family	1	0.02	6522.55	0.02	1540.00	0.02	2004.09	0.02	1039.73	0.02	1938.73	0.02	0	0	0	0	Sodium:alanine symporter family
PF01241.18	PSI_PSAK	Family	2	0.05	12773.69	0.05	2998.98	0.05	3961.63	0.05	1962.73	0.04	3850.35	0.05	0.00	0.01	0.01	0.01	Photosystem I psaG / psaK
PF01242.19	PTPS	Domain	2	0.05	12694.67	0.05	2998.82	0.05	3844.85	0.05	2133.56	0.05	3717.44	0.05	0	0.00	0	0.01	6-pyruvoyl tetrahydropterin synthase
PF01243.20	Putative_PNPOx	Domain	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0	0	0	0	Pyridoxamine 5'-phosphate oxidase
PF01245.20	Ribosomal_L19	Family	1	0.02	6998.30	0.02	1655.34	0.03	2103.77	0.02	1209.87	0.03	2029.32	0.02	0	0	0	0	Ribosomal protein L19
PF01250.17	Ribosomal_S6	Domain	1	0.02	6370.02	0.02	1502.65	0.02	1948.84	0.02	1026.18	0.02	1892.35	0.02	0.01	0.01	0.00	0.00	Ribosomal protein S6
PF01252.18	Peptidase_A8	Family	1	0.02	6547.24	0.02	1546.76	0.02	1983.14	0.02	1088.70	0.02	1928.63	0.02	0	0	0	0	Signal peptidase (SPase) II
PF01253.22	SUI1	Domain	1	0.02	6562.68	0.02	1548.76	0.02	2089.93	0.02	969.20	0.02	1954.80	0.02	0.00	0.00	0.00	0.01	Translation initiation factor SUI1
PF01255.19	Prenyltransf	Family	1	0.02	6699.09	0.02	1588.53	0.02	1983.47	0.02	1181.26	0.03	1945.83	0.02	0.00	0.01	0	0.00	Putative undecaprenyl diphosphate synthase
PF01256.17	Carb_kinase	Family	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	Carbohydrate kinase
PF01257.19	2Fe-2S_thioredx	Family	4	0.09	25843.97	0.09	6111.21	0.09	7904.63	0.09	4205.39	0.09	7622.74	0.09	0	0	0	0	Thioredoxin-like [2Fe-2S] ferredoxin
PF01259.18	SAICAR_synt	Family	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0.00	0.00	0	0.00	SAICAR synthetase
PF01262.21	AlaDh_PNT_C	Domain	3	0.07	19692.81	0.07	4672.13	0.07	5784.40	0.07	3524.80	0.08	5711.48	0.07	0.01	0.01	0.01	0.01	Alanine dehydrogenase/PNT, C-terminal domain
PF01263.20	Aldose_epim	Family	1	0.02	6487.32	0.02	1519.45	0.02	2062.19	0.02	979.76	0.02	1925.93	0.02	0.00	0.00	0.00	0.00	Aldose 1-epimerase
PF01264.21	Chorismate_synt	Family	1	0.02	6457.71	0.02	1531.97	0.02	1934.38	0.02	1081.78	0.02	1909.58	0.02	0.06	0.05	0.05	0.05	Chorismate synthase
PF01266.24	DAO	Domain	5	0.11	32843.55	0.12	7741.71	0.12	10000.44	0.12	5419.55	0.12	9681.83	0.12	0.01	0.01	0.00	0.00	FAD dependent oxidoreductase
PF01281.19	Ribosomal_L9_N	Domain	1	0.02	5886.60	0.02	1378.98	0.02	1811.63	0.02	943.71	0.02	1752.28	0.02	0.01	0.01	0.00	0.01	Ribosomal protein L9, N-terminal domain
PF01288.20	HPPK	Domain	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
PF01297.17	ZnuA	Family	2	0.05	12419.18	0.04	2920.18	0.04	3852.24	0.05	1899.43	0.04	3747.32	0.05	0	0	0	0	Zinc-uptake complex component A periplasmic
PF01300.18	Sua5_yciO_yrdC	Family	4	0.09	25133.33	0.09	5947.50	0.09	7644.41	0.09	4066.58	0.09	7474.84	0.09	0.02	0.03	0.02	0.01	Telomere recombination
PF01322.20	Cytochrom_C_2	Domain	1	0.02	6223.98	0.02	1462.11	0.02	1907.97	0.02	1025.03	0.02	1828.86	0.02	0.12	0.09	0.07	0.09	Cytochrome C'
PF01323.20	DSBA	Domain	1	0.02	6339.10	0.02	1491.71	0.02	1976.34	0.02	985.99	0.02	1885.07	0.02	0.00	0.00	0.00	0.00	DSBA-like thioredoxin domain
PF01326.19	PPDK_N	Family	3	0.07	19416.41	0.07	4580.12	0.07	5910.83	0.07	3190.99	0.07	5734.48	0.07	0.01	0.00	0.00	0.00	Pyruvate phosphate dikinase, PEP/pyruvate binding domain
PF01327.21	Pep_deformylase	Domain	1	0.02	6212.62	0.02	1460.35	0.02	1906.40	0.02	980.73	0.02	1865.14	0.02	0	0	0	0	Polypeptide deformylase
PF01329.19	Pterin_4a	Domain	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0	0	0	0	Pterin 4 alpha carbinolamine dehydratase
PF01330.21	RuvA_N	Domain	1	0.02	6628.93	0.02	1569.83	0.02	2058.29	0.02	1050.75	0.02	1950.07	0.02	0.06	0.05	0.07	0.06	RuvA N terminal domain
PF01333.19	Apocytochr_F_C	Domain	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0.11	0.13	0.10	0.15	Apocytochrome F, C-terminal
PF01336.25	tRNA_anti-codon	Domain	4	0.09	26361.76	0.09	6223.43	0.09	8124.15	0.10	4256.05	0.09	7758.13	0.09	0.25	0.18	0.31	0.16	OB-fold nucleic acid binding domain
PF01339.17	CheB_methylest	Domain	1	0.02	5879.26	0.02	1388.42	0.02	1750.53	0.02	1038.55	0.02	1701.76	0.02	0	0	0	0	CheB methylesterase
PF01343.18	Peptidase_S49	Family	1	0.02	6465.74	0.02	1520.93	0.02	1957.14	0.02	1065.73	0.02	1921.94	0.02	0	0	0	0	Peptidase family S49
PF01345.18	DUF11	Domain	2	0.05	6672.89	0.02	1579.93	0.02	1892.68	0.02	1211.98	0.03	1988.30	0.02	0	0	0	0	Domain of unknown function DUF11
PF01351.18	RNase_HII	Family	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0.01	0.00	0.00	0.01	Ribonuclease HII
PF01367.20	5_3_exonuc	Domain	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0.00	0.00	0	0.00	5'-3' exonuclease, C-terminal SAM fold
PF01368.20	DHH	Family	3	0.07	19604.24	0.07	4630.74	0.07	5917.07	0.07	3386.74	0.07	5669.67	0.07	0	0	0	0	DHH family
PF01370.21	Epimerase	Family	8	0.18	51596.48	0.18	12166.42	0.18	15805.91	0.19	8464.84	0.18	15159.33	0.18	0.14	0.17	0.09	0.16	NAD dependent epimerase/dehydratase family
PF01379.20	Porphobil_deam	Domain	1	0.02	6261.67	0.02	1486.72	0.02	1893.27	0.02	1056.16	0.02	1825.52	0.02	0	0	0	0	Porphobilinogen deaminase, dipyromethane cofactor binding domain
PF01380.22	SIS	Domain	2	0.05	13079.96	0.05	3095.50	0.05	3884.09	0.05	2266.08	0.05	3834.29	0.05	0	0	0	0	SIS domain
PF01381.22	HTH_3	Domain	2	0.05	13293.58	0.05	3140.06	0.05	4139.32	0.05	2012.32	0.04	4001.88	0.05	0	0	0	0	Helix-turn-helix
PF01383.21	CpcD	Domain	5	0.11	32546.31	0.12	7657.80	0.12	9944.48	0.12	5352.15	0.12	9591.86	0.12	0.02	0.03	0.02	0.03	CpcD/allophycocyanin linker domain
PF01385.19	OrfB_IS605	Family	11	0.25	106338.47	0.38	25285.78	0.38	30725.46	0.36	20096.62	0.44	30230.55	0.37	0.03	0.03	0.03	0.02	Probable transposase
PF01386.19	Ribosomal_L25p	Domain	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0.00	0.00	0	0.00	Ribosomal L25p family
PF01398.21	JAB	Family	1	0.02	6421.77	0.02	1524.41	0.02	1932.13	0.02	1074.97	0.02	1890.27	0.02	0.02	0.01	0.02	0.02	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF01406.19	tRNA-synt_1e	Family	2	0.05	12878.98	0.05	3048.95	0.05	3913.99	0.05	2117.58	0.05	3798.46	0.05	0	0	0	0	tRNA synthetases class I (C) catalytic domain
PF01408.22	GFO_IDH_MocA	Family	4	0.09	25838.22	0.09	6110.51	0.09	7813.77	0.09	4314.61	0.09	7599.34	0.09	0	0	0	0	Oxidoreductase family, NAD-binding Rossmann fold
PF01409.20	tRNA-synt_2d	Domain	1	0.02	5879.26	0.02	1388.42	0.02	1750.53	0.02	1038.55	0.02	1701.76	0.02	0	0.00	0	0.00	tRNA synthetases class II core domain (F)
PF01411.19	tRNA-synt_2c	Family	2	0.05	13408.16	0.05	3182.61	0.05	4069.94	0.05	2261.06	0.05	3894.55	0.05	0.00	0.00	0	0.00	tRNA synthetases class II (A)
PF01416.20	PseudoU_synth_1	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.22	0.20	0.32	0.23	tRNA pseudouridine synthase
PF01420.19	Methylase_S	Domain	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0.01	0.01	0.00	0.00	Type I restriction modification DNA specificity domain
PF01424.22	R3H	Domain	1	0.02	6742.25	0.02	1604.07	0.02	1921.11	0.02	1283.15	0.03	1933.93	0.02	0	0	0	0	R3H domain
PF01425.21	Amidase	Family	2	0.05	13104.00	0.05	3081.95	0.05	4032.42	0.05	2093.50	0.05	3896.12	0.05	0	0	0	0	Amidase
PF01427.17	Peptidase_M15	Family	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0.00	0.02	0.01	0.01	D-ala-D-ala dipeptidase
PF01430.19	HSP33	Family	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	Hsp33 protein
PF01432.20	Peptidase_M3	Family	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0	0	0	0	Peptidase family M3
PF01433.20	Peptidase_M1	Domain	1	0.02	6489.20	0.02	1530.35	0.02	2039.25	0.02	993.13	0.02	1926.47	0.02	0.00	0.00	0.00	0.01	Peptidase family M1 domain
PF01434.18	Peptidase_M41	Domain	3	0.07	18818.63	0.07	4425.57	0.07	5775.46	0.07	3041.83	0.07	5575.76	0.07	0.02	0.03	0.01	0.03	Peptidase family M41
PF01435.18	Peptidase_M48	Domain	6	0.14	38594.70	0.14	9123.43	0.14	11790.59	0.14	6325.67	0.14	11355.01	0.14	0.00	0.01	0.00	0.01	Peptidase family M48
PF01450.19	IlvC	Family	1	0.02	6868.99	0.02	1640.70	0.02	2061.22	0.02	1150.09	0.02	2016.97	0.02	0	0	0	0	Acetohydroxy acid isomeroreductase, catalytic domain
PF01451.21	LMWPc	Domain	2	0.05	13567.88	0.05	3187.35	0.05	4300.81	0.05	2044.62	0.04	4035.08	0.05	0	0	0	0	Low molecular weight phosphotyrosine protein phosphatase
PF01455.18	HupF_HypC	Family	1	0.02	6280.76	0.02	1511.66	0.02	1820.41	0.02	1117.33	0.02	1831.36	0.02	0	0	0	0	HupF/HypC family
PF01458.17	UPF0051	Family	2	0.05	13440.60	0.05	3166.14	0.05	4219.88	0.05	2026.34	0.04	4028.24	0.05	0.00	0.00	0	0.00	Uncharacterized protein family (UPF0051)
PF01467.26	CTP_transf_like	Domain	2	0.05	13304.97	0.05	3133.55	0.05	4086.87	0.05	2185.96	0.05	3898.57	0.05	0.00	0.00	0.00	0.00	Cytidylyltransferase-like
PF01470.17	Peptidase_C15	Domain	1	0.02	6439.52	0.02	1522.42	0.02	1897.64	0.02	1108.08	0.02	1911.37	0.02	0	0	0	0	Pyroglutamyl peptidase
PF01471.18	PG_binding_1	Domain	8	0.18	51906.52	0.19	12279.98	0.19	15926.83	0.19	8397.34	0.18	15302.40	0.19	0.06	0.08	0.05	0.06	Putative peptidoglycan binding domain
PF01472.20	PUA	Family	1	0.02	6339.10	0.02	1491.71	0.02	1976.34	0.02	985.99	0.02	1885.07	0.02	0	0	0	0	PUA domain
PF01475.19	FUR	Family	3	0.07	19661.16	0.07	4650.95	0.07	5885.20	0.07	3329.07	0.07	5795.93	0.07	0.01	0.02	0.01	0.01	Ferric uptake regulator family
PF01476.20	LysM	Domain	6	0.14	38508.47	0.14	9063.97	0.14	11872.08	0.14	6199.00	0.13	11373.41	0.14	0.00	0.00	0	0.00	LysM domain
PF01478.18	Peptidase_A24	Family	1	0.02	6226.02	0.02	1464.95	0.02	1925.15	0.02	983.52	0.02	1852.41	0.02	0	0	0	0	Type IV leader peptidase family
PF01479.25	S4	Domain	7	0.16	46385.88	0.17	10947.85	0.17	14051.71	0.16	7738.87	0.17	13647.43	0.17	0.00	0.00	0.00	0.00	S4 domain
PF01483.20	SBBP	Repeat	2	0.05	13045.00	0.05	3100.14	0.05	3873.19	0.05	2286.03	0.05	3785.64	0.05	0.00	0.01	0.01	0.01	Beta-propeller repeat
PF01488.20	Shikimate_DH	Family	2	0.05	13151.48	0.05	3109.83	0.05	4062.38	0.05	2090.48	0.05	3888.80	0.05	0.02	0.02	0.02	0.02	Shikimate / quinate 5-dehydrogenase
PF01493.19	GXGXG	Family	2	0.05	12783.32	0.05	3024.83	0.05	3963.54	0.05	1990.35	0.04	3804.61	0.05	0.00	0	0.01	0.01	GXGXG motif
PF01494.19	FAD_binding_3	Family	3	0.07	19434.47	0.07	4570.29	0.07	5854.06	0.07	3290.61	0.07	5719.51	0.07	0.00	0.00	0	0.00	FAD binding domain
PF01497.18	Peripla_BP_2	Domain	1	0.02	6467.38	0.02	1525.95	0.02	2000.80	0.02	1031.52	0.02	1909.11	0.02	0	0	0	0	Periplasmic binding protein
PF01502.18	PRA-CH	Family	1	0.02	6223.98	0.02	1462.11	0.02	1907.97	0.02	1025.03	0.02	1828.86	0.02	0	0	0	0	Phosphoribosyl-AMP cyclohydrolase
PF01507.19	PAPS_reduct	Family	2	0.05	12955.55	0.05	3052.10	0.05	3955.67	0.05	2117.13	0.05	3830.65	0.05	0	0	0	0	Phosphoadenosine phosphosulfate reductase family
PF01509.18	TruB_N	Family	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0	0	0	0	TruB family pseudouridylate synthase (N terminal domain)
PF01512.17	Complex1_51K	Family	1	0.02	6465.79	0.02	1533.83	0.02	1940.47	0.02	1079.51	0.02	1911.98	0.02	0	0	0	0	Respiratory-chain NADH dehydrogenase 51 Kd subunit
PF01513.21	NAD_kinase	Family	2	0.05	12805.85	0.05	3005.52	0.05	3899.32	0.05	2115.16	0.05	3785.85	0.05	0.08	0.06	0.07	0.06	ATP-NAD kinase
PF01520.18	Amidase_3	Domain	3	0.07	19516.37	0.07	4593.99	0.07	5894.60	0.07	3306.46	0.07	5721.33	0.07	0.87	0.60	1.20	0.62	N-acetylmuramoyl-L-alanine amidase
PF01521.20	Fe-S_biosyn	Family	2	0.05	13239.01	0.05	3143.35	0.05	4010.06	0.05	2176.27	0.05	3909.32	0.05	0	0	0	0	Iron-sulphur cluster biosynthesis
PF01522.21	Polysacc_deac_1	Family	3	0.07	19503.24	0.07	4620.57	0.07	5949.09	0.07	3169.23	0.07	5764.35	0.07	0	0.00	0	0.00	Polysaccharide deacetylase
PF01523.16	PmbA_TldD	Family	4	0.09	26139.75	0.09	6149.99	0.09	8017.16	0.09	4289.47	0.09	7683.12	0.09	0.02	0.04	0.04	0.03	Putative modulator of DNA gyrase
PF01541.24	GIY-YIG	Domain	1	0.02	6266.63	0.02	1469.58	0.02	1968.57	0.02	957.48	0.02	1871.00	0.02	0	0	0	0	GIY-YIG catalytic domain
PF01545.21	Cation_efflux	Family	3	0.07	18677.60	0.07	4373.42	0.07	5795.52	0.07	2907.40	0.06	5601.25	0.07	0	0	0	0	Cation efflux family
PF01546.28	Peptidase_M20	Family	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02	0.00	0.01	0.00	0.01	Peptidase family M20/M25/M40
PF01547.25	SBP_bac_1	Family	8	0.18	51714.11	0.18	12170.29	0.18	15963.86	0.19	8287.98	0.18	15291.97	0.19	0.07	0.09	0.08	0.06	Bacterial extracellular solute-binding protein
PF01551.22	Peptidase_M23	Family	6	0.14	38827.75	0.14	9162.60	0.14	11675.11	0.14	6579.76	0.14	11410.29	0.14	0.02	0.02	0.01	0.01	Peptidase family M23
PF01553.21	Acyltransferase	Family	3	0.07	19072.74	0.07	4480.71	0.07	5815.28	0.07	3149.72	0.07	5627.02	0.07	0.02	0.02	0.01	0.01	Acyltransferase
PF01554.18	MatE	Family	1	0.02	6389.65	0.02	1500.73	0.02	1926.77	0.02	1091.64	0.02	1870.50	0.02	0.01	0.00	0.01	0.00	MatE
PF01555.18	N6_N4_Mtase	Family	1	0.02	7967.57	0.03	1920.19	0.03	2115.16	0.02	1778.90	0.04	2153.32	0.03	0.00	0.00	0.01	0.01	DNA methylase
PF01556.18	DnaJ_C	Domain	3	0.07	20586.66	0.07	4866.28	0.07	6320.47	0.07	3330.90	0.07	6069.03	0.07	0	0.00	0	0.00	DnaJ C terminal domain
PF01557.18	FAA_hydrolase	Family	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0	0	0	0	Fumarylacetoacetate (FAA) hydrolase family
PF01558.18	POR_N	Family	1	0.02	6280.76	0.02	1511.66	0.02	1820.41	0.02	1117.33	0.02	1831.36	0.02	0.01	0.01	0.02	0.01	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg
PF01564.17	Spermine_synth	Domain	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02	0	0	0	0	Spermine/spermidine synthase domain
PF01565.23	FAD_binding_4	Domain	3	0.07	19434.46	0.07	4569.24	0.07	5927.49	0.07	3212.86	0.07	5724.86	0.07	0.01	0.01	0.01	0.01	FAD binding domain
PF01568.21	Molydop_binding	Domain	1	0.02	6284.50	0.02	1490.15	0.02	1888.18	0.02	1063.09	0.02	1843.09	0.02	0	0	0	0	Molydopterin dinucleotide binding domain
PF01571.21	GCV_T	Domain	2	0.05	12798.95	0.05	3004.98	0.05	3879.76	0.05	2090.25	0.05	3823.96	0.05	0	0	0	0	Aminomethyltransferase folate-binding domain
PF01578.20	Cytochrom_C_asm	Family	1	0.02	6272.96	0.02	1473.10	0.02	1949.04	0.02	973.35	0.02	1877.47	0.02	0.03	0.05	0.04	0.04	Cytochrome C assembly protein
PF01580.18	FtsK_SpoIIIE	Domain	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	FtsK/SpoIIIE family
PF01584.19	CheW	Domain	8	0.18	50629.94	0.18	11953.74	0.18	15512.67	0.18	8229.87	0.18	14933.67	0.18	0.01	0.01	0.00	0.01	CheW-like domain
PF01588.20	tRNA_bind	Domain	1	0.02	6720.30	0.02	1583.07	0.02	2109.94	0.02	1013.17	0.02	2014.12	0.02	0	0	0	0	Putative tRNA binding domain
PF01590.26	GAF	Domain	69	1.59	446924.58	1.60	105672.50	1.60	136434.77	1.60	73600.90	1.60	131216.30	1.59	5.48	5.04	6.58	4.74	GAF domain
PF01592.16	NifU_N	Family	1	0.02	6532.60	0.02	1544.47	0.02	2064.91	0.02	1006.16	0.02	1917.06	0.02	0	0	0	0	NifU-like N terminal domain
PF01593.24	Amino_oxidase	Domain	10	0.23	64876.53	0.23	15311.81	0.23	19813.03	0.23	10590.36	0.23	19161.30	0.23	0.05	0.09	0.03	0.08	Flavin containing amine oxidoreductase
PF01594.16	AI-2E_transport	Family	2	0.05	12750.43	0.05	2997.71	0.05	3842.45	0.04	2146.59	0.05	3763.68	0.05	0.01	0.01	0.01	0.01	AI-2E family transporter
PF01595.20	DUF21	Domain	1	0.02	6226.02	0.02	1464.95	0.02	1925.15	0.02	983.52	0.02	1852.41	0.02	0	0	0	0	Cyclin M transmembrane N-terminal domain
PF01597.19	GCV_H	Domain	1	0.02	6465.74	0.02	1520.93	0.02	1957.14	0.02	1065.73	0.02	1921.94	0.02	0	0	0	0	Glycine cleavage H-protein
PF01609.21	DDE_Tnp_1	Domain	2	0.05	12993.34	0.05	3063.31	0.05	3948.87	0.05	2148.18	0.05	3832.97	0.05	0.02	0.02	0.01	0.02	domain
PF01610.17	DDE_Tnp_ISL3	Family	1	0.02	1525.10	0.01	279.04	0.00	675.09	0.01	98.44	0.00	472.53	0.01	0	0	0	0	Transposase
PF01612.20	DNA_pol_A_exo1	Domain	3	0.07	19997.52	0.07	4733.46	0.07	6108.67	0.07	3271.36	0.07	5884.01	0.07	0.00	0.00	0	0.00	3'-5' exonuclease
PF01613.18	Flavin_Reduct	Domain	3	0.07	19794.86	0.07	4676.99	0.07	6040.62	0.07	3288.60	0.07	5788.63	0.07	0	0	0	0	Flavin reductase like domain
PF01618.16	MotA_ExbB	Family	4	0.09	26216.73	0.09	6201.96	0.09	8124.76	0.10	4159.87	0.09	7730.15	0.09	0	0	0	0	MotA/TolQ/ExbB proton channel family
PF01619.18	Pro_dh	Family	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	Proline dehydrogenase
PF01624.20	MutS_I	Domain	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02	0	0	0	0	MutS domain I
PF01625.21	PMSR	Family	3	0.07	12495.31	0.04	2936.28	0.04	3860.33	0.05	1955.08	0.04	3743.61	0.05	0	0	0	0	Peptide methionine sulfoxide reductase
PF01627.23	Hpt	Family	13	0.30	77027.40	0.28	18184.41	0.28	23316.97	0.27	12985.46	0.28	22540.56	0.27	0.23	0.18	0.22	0.19	Hpt domain
PF01628.21	HrcA	Family	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	HrcA protein C terminal domain
PF01632.19	Ribosomal_L35p	Family	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	Ribosomal protein L35
PF01634.18	HisG	Family	1	0.02	6433.00	0.02	1512.10	0.02	1951.58	0.02	1077.40	0.02	1891.92	0.02	0	0	0	0	ATP phosphoribosyltransferase
PF01636.23	APH	Family	4	0.09	25474.11	0.09	6000.86	0.09	7710.52	0.09	4274.32	0.09	7488.41	0.09	0.11	0.21	0.06	0.19	Phosphotransferase enzyme family
PF01641.18	SelR	Family	3	0.07	15468.40	0.06	3742.22	0.06	4032.49	0.05	3486.29	0.08	4207.41	0.05	0.00	0.00	0	0.00	SelR domain
PF01645.17	Glu_synthase	Domain	2	0.05	12783.32	0.05	3024.83	0.05	3963.54	0.05	1990.35	0.04	3804.61	0.05	0.00	0	0.01	0.01	Conserved region in glutamate synthase
PF01648.20	ACPS	Domain	1	0.02	6467.38	0.02	1525.95	0.02	2000.80	0.02	1031.52	0.02	1909.11	0.02	0	0	0	0	4'-phosphopantetheinyl transferase superfamily
PF01649.18	Ribosomal_S20p	Family	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	Ribosomal protein S20
PF01653.18	DNA_ligase_aden	Domain	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	NAD-dependent DNA ligase adenylation domain
PF01654.17	Cyt_bd_oxida_I	Family	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0.01	0	0.01	0	Cytochrome bd terminal oxidase subunit I
PF01656.23	CbiA	Domain	1	0.02	6226.02	0.02	1464.95	0.02	1925.15	0.02	983.52	0.02	1852.41	0.02	0	0	0	0	CobQ/CobB/MinD/ParA nucleotide binding domain
