#accession	name	isology	mainrole	subrole	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4	description
TIGR00173	menD	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone	1	0.02	6522.55	0.02	1540.00	0.02	2004.09	0.02	1039.73	0.02	1938.73	0.02	0	0	0	0	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
TIGR00174	miaA	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0.34	0.31	0.22	0.34	tRNA dimethylallyltransferase
TIGR00177	molyb_syn	domain	UNKNOWN	UNKNOWN	3	0.07	19865.67	0.07	4682.23	0.07	6054.64	0.07	3297.65	0.07	5831.14	0.07	0.01	0.02	0.00	0.01	molybdenum cofactor synthesis domain
TIGR00179	murB	equivalog	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0	0	0	0	UDP-N-acetylenolpyruvoylglucosamine reductase
TIGR00182	plsX	equivalog	Fatty acid and phospholipid metabolism	Biosynthesis	1	0.02	6401.27	0.02	1501.25	0.02	1959.78	0.02	1041.93	0.02	1898.31	0.02	0	0	0	0	fatty acid/phospholipid synthesis protein PlsX
TIGR00183	prok_nadp_idh	equivalog	Energy metabolism	TCA cycle	1	0.02	6720.30	0.02	1583.07	0.02	2109.94	0.02	1013.17	0.02	2014.12	0.02	0	0	0	0	isocitrate dehydrogenase, NADP-dependent
TIGR00184	purA	equivalog	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	adenylosuccinate synthase
TIGR00186	rRNA_methyl_3	hypoth_equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0.04	0.09	0.08	0.05	RNA methyltransferase, TrmH family, group 3
TIGR00187	ribE	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD	1	0.02	6628.93	0.02	1569.83	0.02	2058.29	0.02	1050.75	0.02	1950.07	0.02	0	0	0	0	riboflavin synthase, alpha subunit
TIGR00188	rnpA	equivalog	Transcription	RNA processing	1	0.02	6501.48	0.02	1530.61	0.02	1989.55	0.02	1039.57	0.02	1941.74	0.02	0	0	0	0	ribonuclease P protein component
TIGR00190	thiC	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0.00	0.00	0.01	0.01	phosphomethylpyrimidine synthase
TIGR00191	thrB	equivalog	Amino acid biosynthesis	Aspartate family	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0	0	0	0	homoserine kinase
TIGR00192	urease_beta	equivalog_domain	Central intermediary metabolism	Nitrogen metabolism	1	0.02	6452.11	0.02	1524.05	0.02	1964.40	0.02	1064.76	0.02	1898.91	0.02	0	0	0	0	urease, beta subunit
TIGR00193	urease_gam	equivalog_domain	Central intermediary metabolism	Nitrogen metabolism	1	0.02	6452.11	0.02	1524.05	0.02	1964.40	0.02	1064.76	0.02	1898.91	0.02	0	0	0	0	urease, gamma subunit
TIGR00194	uvrC	equivalog	DNA metabolism	DNA replication, recombination, and repair	1	0.02	6266.63	0.02	1469.58	0.02	1968.57	0.02	957.48	0.02	1871.00	0.02	0	0	0	0	excinuclease ABC subunit C
TIGR00195	exoDNase_III	equivalog	DNA metabolism	DNA replication, recombination, and repair	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0.02	0.02	0.03	0.02	exodeoxyribonuclease III
TIGR00196	yjeF_cterm	hypoth_equivalog_domain	Unknown function	General	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	YjeF family C-terminal domain
TIGR00197	yjeF_nterm	hypoth_equivalog_domain	Unknown function	General	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	YjeF family N-terminal domain
TIGR00199	PncC_domain	subfamily_domain			1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	0	0	0	0	amidohydrolase, PncC family
TIGR00203	cydB	equivalog	Energy metabolism	Electron transport	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0	0	0	0	cytochrome d ubiquinol oxidase, subunit II
TIGR00204	dxs	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine	1	0.02	5759.87	0.02	1339.68	0.02	1769.38	0.02	910.61	0.02	1740.19	0.02	0.02	0.01	0.05	0.02	1-deoxy-D-xylulose-5-phosphate synthase
TIGR00209	galT_1	equivalog	Energy metabolism	Sugars	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0.01	0.01	0.02	0.01	galactose-1-phosphate uridylyltransferase
TIGR00211	glyS	equivalog_domain	Protein synthesis	tRNA aminoacylation	1	0.02	6284.50	0.02	1490.15	0.02	1888.18	0.02	1063.09	0.02	1843.09	0.02	0	0	0	0	glycine--tRNA ligase, beta subunit
TIGR00212	hemC	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin	1	0.02	6261.67	0.02	1486.72	0.02	1893.27	0.02	1056.16	0.02	1825.52	0.02	0	0	0	0	hydroxymethylbilane synthase
TIGR00214	lipB	equivalog	Protein fate	Protein modification and repair	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02	0	0	0	0	lipoyl(octanoyl) transferase
TIGR00215	lpxB	equivalog	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0	0	0	0	lipid-A-disaccharide synthase
TIGR00216	ispH_lytB	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Other	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR00217	malQ	equivalog	Energy metabolism	Biosynthesis and degradation of polysaccharides	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0	0	0	0	4-alpha-glucanotransferase
TIGR00219	mreC	equivalog	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	1	0.02	6335.54	0.02	1484.31	0.02	1933.18	0.02	1041.26	0.02	1876.79	0.02	0	0	0	0	rod shape-determining protein MreC
TIGR00221	nagA	equivalog	Central intermediary metabolism	Amino sugars	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	N-acetylglucosamine-6-phosphate deacetylase
TIGR00222	panB	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A	1	0.02	6452.11	0.02	1524.05	0.02	1964.40	0.02	1064.76	0.02	1898.91	0.02	0	0	0	0	3-methyl-2-oxobutanoate hydroxymethyltransferase
TIGR00223	panD	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0	0	0	0	aspartate 1-decarboxylase
TIGR00225	prc	subfamily	Protein fate	Protein modification and repair	3	0.07	19387.47	0.07	4573.58	0.07	5895.34	0.07	3235.64	0.07	5682.93	0.07	0.01	0.01	0.01	0.01	C-terminal processing peptidase
TIGR00227	ribD_Cterm	domain	UNKNOWN	UNKNOWN	1	0.02	6491.86	0.02	1532.70	0.02	1959.32	0.02	1108.61	0.02	1891.23	0.02	0	0	0	0	riboflavin-specific deaminase C-terminal domain
TIGR00229	sensory_box	domain	Regulatory functions	Small molecule interactions	127	2.92	824475.18	2.94	194324.89	2.94	254305.19	2.98	132116.26	2.86	243728.81	2.96	2.45	2.20	2.60	1.96	PAS domain S-box protein
TIGR00230	sfsA	equivalog	Regulatory functions	Other	1	0.02	6389.65	0.02	1500.73	0.02	1926.77	0.02	1091.64	0.02	1870.50	0.02	0	0	0	0	sugar fermentation stimulation protein
TIGR00231	small_GTP	domain	Unknown function	General	12	0.28	79318.40	0.28	18832.21	0.28	23773.91	0.28	13712.13	0.30	23000.12	0.28	0.06	0.07	0.03	0.04	small GTP-binding protein domain
TIGR00232	tktlase_bact	equivalog	Energy metabolism	Pentose phosphate pathway	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02	0.00	0.00	0	0.00	transketolase
TIGR00233	trpS	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6457.71	0.02	1531.97	0.02	1934.38	0.02	1081.78	0.02	1909.58	0.02	0	0	0	0	tryptophan--tRNA ligase
TIGR00234	tyrS	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6501.48	0.02	1530.61	0.02	1989.55	0.02	1039.57	0.02	1941.74	0.02	0.00	0	0.00	0.00	tyrosine--tRNA ligase
TIGR00236	wecB	equivalog	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.06	0.04	0.07	0.03	UDP-N-acetylglucosamine 2-epimerase
TIGR00237	xseA	equivalog	DNA metabolism	Degradation of DNA	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0.01	0.01	0.02	0.01	exodeoxyribonuclease VII, large subunit
TIGR00243	Dxr	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Other	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	1-deoxy-D-xylulose 5-phosphate reductoisomerase
TIGR00244	TIGR00244	equivalog	Regulatory functions	DNA interactions	1	0.02	5886.60	0.02	1378.98	0.02	1811.63	0.02	943.71	0.02	1752.28	0.02	0.01	0.01	0	0.00	transcriptional regulator NrdR
TIGR00245	TIGR00245	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6564.04	0.02	1565.29	0.02	1986.41	0.02	1090.71	0.02	1921.63	0.02	0.00	0.00	0	0	TIGR00245 family protein
TIGR00247	TIGR00247	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6389.65	0.02	1500.73	0.02	1926.77	0.02	1091.64	0.02	1870.50	0.02	0	0	0	0	conserved hypothetical protein, YceG family
TIGR00249	sixA	equivalog	Regulatory functions	Protein interactions	1	0.02	6532.60	0.02	1544.47	0.02	2064.91	0.02	1006.16	0.02	1917.06	0.02	0.01	0.01	0.01	0.00	phosphohistidine phosphatase SixA
TIGR00250	RNAse_H_YqgF	hypoth_equivalog	Unknown function	General	1	0.02	6336.20	0.02	1489.06	0.02	2002.32	0.02	969.82	0.02	1875.00	0.02	0	0	0	0	putative transcription antitermination factor YqgF
TIGR00252	TIGR00252	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6427.03	0.02	1524.42	0.02	1877.97	0.02	1079.95	0.02	1944.69	0.02	0	0	0	0	TIGR00252 family protein
TIGR00254	GGDEF	domain	Signal transduction	Other	24	0.55	156586.38	0.56	36886.68	0.56	47919.02	0.56	25636.65	0.56	46144.00	0.56	0.54	0.56	0.53	0.49	diguanylate cyclase (GGDEF) domain
TIGR00256	TIGR00256	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6175.40	0.02	1451.91	0.02	1747.89	0.02	1222.76	0.03	1752.83	0.02	0	0	0	0	D-tyrosyl-tRNA(Tyr) deacylase
TIGR00259	thylakoid_BtpA	subfamily	Protein fate	Protein folding and stabilization	1	0.02	6466.38	0.02	1514.72	0.02	2006.08	0.02	1006.32	0.02	1939.26	0.02	0	0	0	0	membrane complex biogenesis protein, BtpA family
TIGR00260	thrC	equivalog	Amino acid biosynthesis	Aspartate family	1	0.02	6522.55	0.02	1540.00	0.02	2004.09	0.02	1039.73	0.02	1938.73	0.02	0	0	0	0	threonine synthase
TIGR00262	trpA	equivalog	Amino acid biosynthesis	Aromatic amino acid family	1	0.02	7613.88	0.03	1798.05	0.03	2343.22	0.03	1242.78	0.03	2229.84	0.03	0	0	0	0	tryptophan synthase, alpha subunit
TIGR00263	trpB	equivalog	Amino acid biosynthesis	Aromatic amino acid family	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02	0	0	0	0	tryptophan synthase, beta subunit
TIGR00268	TIGR00268	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6467.38	0.02	1525.95	0.02	2000.80	0.02	1031.52	0.02	1909.11	0.02	0	0	0	0	TIGR00268 family protein
TIGR00274	TIGR00274	equivalog	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02	0	0	0	0	N-acetylmuramic acid 6-phosphate etherase
TIGR00276	TIGR00276	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6410.04	0.02	1509.59	0.02	2054.70	0.02	933.93	0.02	1911.82	0.02	0	0	0	0	epoxyqueuosine reductase
TIGR00277	HDIG	domain	UNKNOWN	UNKNOWN	1	0.02	6489.20	0.02	1530.35	0.02	2039.25	0.02	993.13	0.02	1926.47	0.02	0	0	0	0	HDIG domain
TIGR00278	TIGR00278	equivalog	Hypothetical proteins	Conserved	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02	0	0	0	0	putative membrane protein insertion efficiency factor
TIGR00281	TIGR00281	equivalog	DNA metabolism	Chromosome-associated proteins	1	0.02	6547.24	0.02	1546.76	0.02	1983.14	0.02	1088.70	0.02	1928.63	0.02	0	0	0	0	segregation and condensation protein B
TIGR00287	cas1	equivalog	UNKNOWN	UNKNOWN	3	0.07	18456.84	0.07	4360.05	0.07	5527.61	0.06	3200.48	0.07	5368.69	0.07	0	0	0	0	CRISPR-associated endonuclease Cas1
TIGR00297	TIGR00297	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0.08	0.06	0.08	0.08	TIGR00297 family protein
TIGR00299	TIGR00299	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6209.59	0.02	1460.09	0.02	1926.12	0.02	949.72	0.02	1873.66	0.02	0	0	0	0	TIGR00299 family protein
TIGR00300	TIGR00300	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0.01	0.02	0.01	0.01	TIGR00300 family protein
TIGR00302	TIGR00302	equivalog	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis	1	0.02	6699.09	0.02	1588.53	0.02	1983.47	0.02	1181.26	0.03	1945.83	0.02	0	0	0	0	phosphoribosylformylglycinamidine synthase, purS protein
TIGR00303	TIGR00303	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6452.11	0.02	1524.05	0.02	1964.40	0.02	1064.76	0.02	1898.91	0.02	0	0	0	0	TIGR00303 family protein
TIGR00305	TIGR00305	equivalog	Transcription	Degradation of RNA	1	0.02	6691.63	0.02	1596.18	0.02	2076.68	0.02	1046.64	0.02	1972.13	0.02	0.02	0.03	0.02	0.02	putative toxin-antitoxin system toxin component, PIN family
TIGR00312	cbiD	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin	1	0.02	6467.38	0.02	1525.95	0.02	2000.80	0.02	1031.52	0.02	1909.11	0.02	0.00	0.00	0.00	0.00	cobalamin biosynthesis protein CbiD
TIGR00313	cobQ	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin	2	0.05	12682.41	0.05	2990.20	0.05	3856.04	0.05	2020.15	0.04	3816.02	0.05	0.09	0.13	0.12	0.12	cobyric acid synthase CobQ
TIGR00317	cobS	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin	1	0.02	6175.40	0.02	1451.91	0.02	1747.89	0.02	1222.76	0.03	1752.83	0.02	0	0	0	0	cobalamin 5'-phosphate synthase
TIGR00325	lpxC	equivalog	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0.01	0.01	0.01	0.00	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
TIGR00329	gcp_kae1	subfamily	Protein fate	Degradation of proteins, peptides, and glycopeptides	1	0.02	6501.48	0.02	1530.61	0.02	1989.55	0.02	1039.57	0.02	1941.74	0.02	0	0	0	0	metallohydrolase, glycoprotease/Kae1 family
TIGR00330	glpX	equivalog	Energy metabolism	Pentose phosphate pathway	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0	0	0	0	fructose-1,6-bisphosphatase, class II
TIGR00331	hrcA	equivalog	Regulatory functions	DNA interactions	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	heat-inducible transcription repressor HrcA
TIGR00336	pyrE	equivalog_domain	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis	2	0.05	12586.68	0.04	2943.29	0.04	3890.72	0.05	1964.26	0.04	3788.41	0.05	0	0	0	0	orotate phosphoribosyltransferase
TIGR00337	PyrG	equivalog	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis	1	0.02	6175.40	0.02	1451.91	0.02	1747.89	0.02	1222.76	0.03	1752.83	0.02	0	0	0	0	CTP synthase
TIGR00339	sopT	equivalog_domain	Central intermediary metabolism	Sulfur metabolism	1	0.02	6255.38	0.02	1465.78	0.02	1978.07	0.02	940.20	0.02	1871.33	0.02	0	0	0	0	sulfate adenylyltransferase
TIGR00341	TIGR00341	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6343.85	0.02	1498.40	0.02	1918.96	0.02	1037.37	0.02	1889.12	0.02	0	0	0	0	TIGR00341 family protein
TIGR00344	alaS	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6591.63	0.02	1564.01	0.02	1968.53	0.02	1155.33	0.03	1903.76	0.02	0	0	0	0	alanine--tRNA ligase
TIGR00345	GET3_arsA_TRC40	subfamily	Hypothetical proteins	Conserved	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	transport-energizing ATPase, TRC40/GET3/ArsA family
TIGR00347	bioD	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Biotin	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	dethiobiotin synthase
TIGR00348	hsdR	subfamily	DNA metabolism	Restriction/modification	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0	0	0.00	0.00	type I site-specific deoxyribonuclease, HsdR family
TIGR00350	lytR_cpsA_psr	domain	Regulatory functions	Other	2	0.05	12882.89	0.05	3049.12	0.05	3874.57	0.05	2165.69	0.05	3793.51	0.05	0	0	0	0	cell envelope-related function transcriptional attenuator common domain
TIGR00355	purH	equivalog	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis	1	0.02	6628.43	0.02	1548.70	0.02	2114.07	0.02	994.25	0.02	1971.41	0.02	0	0	0	0	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR00357	TIGR00357	equivalog_domain	Cellular processes	Adaptations to atypical conditions	3	0.07	15468.40	0.06	3742.22	0.06	4032.49	0.05	3486.29	0.08	4207.41	0.05	0.00	0.00	0	0.00	methionine-R-sulfoxide reductase
TIGR00360	ComEC_N-term	subfamily_domain	Unknown function	General	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0.02	0.02	0.00	0.01	ComEC/Rec2-related protein
TIGR00362	DnaA	equivalog	DNA metabolism	DNA replication, recombination, and repair	1	0.02	6142.66	0.02	1451.93	0.02	1823.46	0.02	1110.63	0.02	1756.64	0.02	0	0	0	0	chromosomal replication initiator protein DnaA
TIGR00364	TIGR00364	equivalog	Unknown function	General	1	0.02	6562.68	0.02	1548.76	0.02	2089.93	0.02	969.20	0.02	1954.80	0.02	0	0	0	0	queuosine biosynthesis protein QueC
TIGR00365	TIGR00365	equivalog	Energy metabolism	Electron transport	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0	0	0	0	monothiol glutaredoxin, Grx4 family
TIGR00367	TIGR00367	hypoth_equivalog	Unknown function	General	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0	0	0	0	K+-dependent Na+/Ca+ exchanger homolog
TIGR00368	TIGR00368	hypoth_equivalog	Unknown function	General	1	0.02	6487.32	0.02	1519.45	0.02	2062.19	0.02	979.76	0.02	1925.93	0.02	0	0	0	0	Mg chelatase-like protein
TIGR00374	TIGR00374	superfamily	Unknown function	General	1	0.02	6628.93	0.02	1569.83	0.02	2058.29	0.02	1050.75	0.02	1950.07	0.02	0	0	0	0	TIGR00374 family protein
TIGR00377	ant_ant_sig	superfamily	Regulatory functions	Protein interactions	4	0.09	26513.45	0.09	6266.62	0.09	8159.81	0.10	4250.75	0.09	7836.25	0.10	0.01	0.01	0.02	0.02	anti-anti-sigma factor
TIGR00378	cax	equivalog	Transport and binding proteins	Cations and iron carrying compounds	1	0.02	6439.52	0.02	1522.42	0.02	1897.64	0.02	1108.08	0.02	1911.37	0.02	0.02	0.02	0.01	0.01	calcium/proton exchanger
TIGR00379	cobB	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0	0	0	0	cobyrinic acid a,c-diamide synthase
TIGR00380	cobD	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	cobalamin biosynthesis protein CobD
TIGR00382	clpX	equivalog	Protein fate	Degradation of proteins, peptides, and glycopeptides	1	0.02	6998.30	0.02	1655.34	0.03	2103.77	0.02	1209.87	0.03	2029.32	0.02	0	0.00	0	0.00	ATP-dependent Clp protease, ATP-binding subunit ClpX
TIGR00384	dhsB	subfamily	Energy metabolism	TCA cycle	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02	0	0	0	0	succinate dehydrogenase and fumarate reductase iron-sulfur protein
TIGR00387	glcD	equivalog	Energy metabolism	Other	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0.01	0.01	0.01	0.01	glycolate oxidase, subunit GlcD
TIGR00388	glyQ	equivalog_domain	Protein synthesis	tRNA aminoacylation	1	0.02	7613.88	0.03	1798.05	0.03	2343.22	0.03	1242.78	0.03	2229.84	0.03	0	0	0	0	glycine--tRNA ligase, alpha subunit
TIGR00392	ileS	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0	0	0	0	isoleucine--tRNA ligase
TIGR00396	leuS_bact	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6365.02	0.02	1503.01	0.02	1910.37	0.02	1088.14	0.02	1863.50	0.02	0.01	0.01	0	0.01	leucine--tRNA ligase
TIGR00398	metG	equivalog_domain	Protein synthesis	tRNA aminoacylation	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0	0	0	0	methionine--tRNA ligase
TIGR00400	mgtE	equivalog	Transport and binding proteins	Cations and iron carrying compounds	3	0.07	19563.05	0.07	4627.10	0.07	5895.84	0.07	3350.87	0.07	5689.24	0.07	0	0	0	0	magnesium transporter
TIGR00401	msrA	equivalog_domain	Cellular processes	Adaptations to atypical conditions	3	0.07	12495.31	0.04	2936.28	0.04	3860.33	0.05	1955.08	0.04	3743.61	0.05	0	0	0	0	peptide-methionine (S)-S-oxide reductase
TIGR00403	ndhI	equivalog	Energy metabolism	Electron transport	1	0.02	6504.12	0.02	1547.71	0.02	1974.40	0.02	1101.32	0.02	1880.69	0.02	0	0	0	0	NADH-plastoquinone oxidoreductase, I subunit
TIGR00406	prmA	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0	0	0	0	ribosomal protein L11 methyltransferase
TIGR00407	proA	equivalog_domain	Amino acid biosynthesis	Glutamate family	1	0.02	6261.67	0.02	1486.72	0.02	1893.27	0.02	1056.16	0.02	1825.52	0.02	0	0	0	0	glutamate-5-semialdehyde dehydrogenase
TIGR00409	proS_fam_II	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02	0.01	0.01	0.02	0.01	proline--tRNA ligase
TIGR00412	redox_disulf_2	hypoth_equivalog	Unknown function	General	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	redox-active disulfide protein 2
TIGR00413	rlpA	subfamily	Cell envelope	Other	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02	0	0	0	0	rare lipoprotein A
TIGR00414	serS	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6370.02	0.02	1502.65	0.02	1948.84	0.02	1026.18	0.02	1892.35	0.02	0.24	0.29	0.28	0.21	serine--tRNA ligase
TIGR00416	sms	equivalog	DNA metabolism	DNA replication, recombination, and repair	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02	0	0	0	0.00	DNA repair protein RadA
TIGR00418	thrS	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6261.67	0.02	1486.72	0.02	1893.27	0.02	1056.16	0.02	1825.52	0.02	0	0	0	0	threonine--tRNA ligase
TIGR00419	tim	equivalog	Energy metabolism	Glycolysis/gluconeogenesis	1	0.02	6522.55	0.02	1540.00	0.02	2004.09	0.02	1039.73	0.02	1938.73	0.02	0	0	0	0	triose-phosphate isomerase
TIGR00420	trmU	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	0	0	0	0	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
